brand_name_normalized,generic_names_normalized,registration_numbers,review_reason
daktarin,miconazole | miconazole nitrate,DR-XY14359 | DR-XY14361,same_brand_name_has_multiple_generic_names
tobradex,tobradex + dexamethasone | tobramycin + dexamethasone,DR-XY14481 | DR-XY15352,same_brand_name_has_multiple_generic_names
mecovit,mecobalamin | methylcobalamin (vitamin b12),DR-XY15525 | DR-XY48808,same_brand_name_has_multiple_generic_names
broadmetz,amoxicillin (as trihydrate) | amoxicillin (trihydrate),DR-XY17246-B | DRP-9934,same_brand_name_has_multiple_generic_names
xylocaine,lidocaine | lidocaine hydrochloride,DR-XY15681 | DR-XY48561,same_brand_name_has_multiple_generic_names
dynatussin,dextromethorphan hydrobromide + guaifenesin + sodium citrate + phenylpropanolamine hydrochloride | dextromethorphan hydrobromide/ guaifenesin/ chlorphenamine maleate/ paracetamol/ phenylpropanolamine hydrochloride,DR-XY16022 | DR-XY18308,same_brand_name_has_multiple_generic_names
lacipil,lacidipine | lacipidine,DR-XY16827 | DR-XY29222,same_brand_name_has_multiple_generic_names
ceclor,cefaclor | cefaclor (as monohydrate),DR-XY4009-L | DRP-15731,same_brand_name_has_multiple_generic_names
dicymed,dicycloverine (as hydrochloride) | dicycloverine hydrochloride,DR-XY18411 | DR-XY18698,same_brand_name_has_multiple_generic_names
qinolon,ofloxacin | ofloxacin (as hydrochloride),DR-XY28270 | DR-XY7167,same_brand_name_has_multiple_generic_names
quadrotopic,tolnaftate + clioquinol + gentamicin (as sulfate) + betamethasone (as valerate) | tolnaftate/ clioquinol/ gentamicin (as sulfate)/betamethasone (as valerate) | tolnaftate/clioquinol/gentamicin (as sulfate)/ betamethasone (as valerate),DR-XY18727 | DRP-11254 | DRP-12783,same_brand_name_has_multiple_generic_names
korgivit-e,d-alpha tocopheryl acid succinate (vitamin e) + calcium pantothenate + korean ginseng + bee pollen + lecithin | d-alpha tocopheryl acid succinate (vitamin e)/ korean ginseng/ bee pollen/ calcium pantothenate/ lecithin,DR-XY19122 | DRP-8175,same_brand_name_has_multiple_generic_names
zyclodex,dicycloverine | dicycloverine (as hydrochloride),DR-XY19211 | DR-XY22291,same_brand_name_has_multiple_generic_names
drexclo,chloramphenicol | chloramphenicol (as palmitate),DR-XY19262 | DRP-8972,same_brand_name_has_multiple_generic_names
sustachlor,chloramphenicol | chloramphenicol (as palmitate),DR-XY19288-B | DR-XY19791-B,same_brand_name_has_multiple_generic_names
elica,mometasone (as furoate) | mometasone furoate,DR-XY19711 | DR-XY47270,same_brand_name_has_multiple_generic_names
bisoxine,bromhexine (as hydrochloride) | bromhexine hydrochloride,DR-XY19977 | DR-XY19989,same_brand_name_has_multiple_generic_names
vitagen,multivitamins | thiamine mononitrate + pyridoxine hydrochloride + cyanocobalamin,DR-XY20133 | DRP-10021,same_brand_name_has_multiple_generic_names
valzimox,amoxicillin (as trihydrate ) | amoxicillin (as trihydrate),DR-XY20150 | DRP-1217-05,same_brand_name_has_multiple_generic_names
supramox,amoxicillin (as trihydrate) | amoxicillin(as trihydrate),DR-XY20187-B | DR-XY21578-B,same_brand_name_has_multiple_generic_names
cephoral,cefalexin ( as monohydrate) | cefalexin (as monohydrate),DR-XY20276-B | DR-XY20277-B,same_brand_name_has_multiple_generic_names
axillin,cloxacillin (as sodium monohydrate) | cloxacillin (as sodium),DR-XY20552-B | DRP-909-01,same_brand_name_has_multiple_generic_names
amizol,metronidazole | metronidazole (as benzoate),DRP-13577-01 | DRP-2440-02,same_brand_name_has_multiple_generic_names
dianeal pd-2,peritoneal dialysis solution with 1.5% dextrose | peritoneal dialysis solution with 2.5% dextrose | peritoneal dialysis solution with 4.25% dextrose,DR-XY22898 | DR-XY23125 | DR-XY23129,same_brand_name_has_multiple_generic_names
colvan,paracetamol + guaifenesin + phenylpropanolamine hci + dextromethorphan hbr + chlorphenamine maleate | phenylpropanolamine hydrochloride + chlorphenamine maleate,DR-XY23161-B | DRP-9893,same_brand_name_has_multiple_generic_names
imdur durules,isosorbide mononitrate | isosorbide-5-mononitrate,DR-XY23150 | DR-XY25446,same_brand_name_has_multiple_generic_names
godex,carnitine orotate + liver extract antitoxic fraction + adenine hci + pyridoxine hci (vit. b6) + riboflavin (vit. b2) + cyanocobalamin (vit. b12) | carnitine orotate + pyridoxine hydrochloride + cyanocobalamin + hepatic extract antitoxic fraction + adenine hydrochloride + riboflavin,DR-XY23410 | DRP-10944,same_brand_name_has_multiple_generic_names
levox,levofloxacin | levofloxacin (as hemihydrate) | levofloxacin (as hydrate),DR-XY32085 | DR-XY34588 | DR-XY46401,same_brand_name_has_multiple_generic_names
glomicol,chloramphenicol | chloramphenicol (as palmitate),DR-XY23890 | DR-XY6312,same_brand_name_has_multiple_generic_names
clindal,clindamycin (as hydrochloride) | clindamycin (as phosphate),DR-XY28449 | DR-XY33407,same_brand_name_has_multiple_generic_names
augmentin,co-amoxiclav | co-amoxiclav (see reverse for formulation),DRP-6476 | DRP-8405,same_brand_name_has_multiple_generic_names
dexton,dexamethasone phosphate (as sodium) | dexamethasone sodium phosphate,DR-XY24222 | DRP-701,same_brand_name_has_multiple_generic_names
nasatapp,phenylpropanolamine hydrochloride + brompheniramine maleate | phenylpropanolamine hydrochloride+brompheniramine maleate,DR-XY24538 | DR-XY27147,same_brand_name_has_multiple_generic_names
floxel,levofloxacin | levofloxacin (as hemihydrate),DR-XY27918 | DR-XY32172,same_brand_name_has_multiple_generic_names
sorbifer durules,ferrous sulfate | iron,DR-XY25098 | DRP-10529,same_brand_name_has_multiple_generic_names
