brand_name_normalized,generic_names_normalized,registration_numbers,review_reason
ascorbic acid + zinc,ascorbic acid + zinc | ceezinc | imucor-z,DR-XY39842 | DRP-10868-15 | DRP-3128-01,same_brand_name_has_multiple_generic_names
cebroline,citicoline (as sodium) | citicoline sodium,DR-XY39954 | DRP-1446-01,same_brand_name_has_multiple_generic_names
iroplus,vitamin b-complex + iron + lysine + buclizine hci | vitamin b-complex+ iron + lysine +buclizine hcl,DR-XY40123 | DRP-10671,same_brand_name_has_multiple_generic_names
gastrosil,metoclopramide (as hydrochloride) | metoclopromide (as hydrochloride),DR-XY40129 | DRP-11611,same_brand_name_has_multiple_generic_names
esofag,esomeprazole | esomeprazole (as magnesium trihydrate),DR-XY40146 | DR-XY40931,same_brand_name_has_multiple_generic_names
coldeze infant drops,phenylephrine hydrochloride + chlorpheniramine maelate | phenylephrine hydrochloride + chlorpheniramine maleate,DR-XY40186 | DR-XY40186 (For Export Only),same_brand_name_has_multiple_generic_names
restor big,multivitamins + minerals | vitamin a + vitamin d3 + vitamin b1 + vitamin b2 po4 + vitamin b12 + vitamin b3 + vitamin c + ca gluconate + fe polymaltose + zn gluconate + taurine + l-lysine hydrochloride + chlorella powder + chlorella extract powder,DR-XY40220 | DR-XY40221,same_brand_name_has_multiple_generic_names
esoflux,esomeprazole | esomeprazole (as sodium) | esomeprazole magnesium,DR-XY40238 | DR-XY40389 | DR-XY41485,same_brand_name_has_multiple_generic_names
trivasc,trimetazidine dihydrochloride | trimetazidine hydrochloride,DR-XY45557 | DRP-12117,same_brand_name_has_multiple_generic_names
adfer,iron + zinc + vitamin b-complex | multivitamins + minerals,DR-XY40504 | DR-XY47966,same_brand_name_has_multiple_generic_names
merop,meropenem | meropenem (as trihydrate),DRP-11480 | DRP-2151-01,same_brand_name_has_multiple_generic_names
nutram,paracetamol + tramadol hydrochloride | tramadol hydrochloride + paracetamol,DR-XY40688 | DRP-7603-05,same_brand_name_has_multiple_generic_names
asmalex,guaifenesin + salbutamol | guiafenesin + salbutamol,DR-XY40804 | DR-XY40805,same_brand_name_has_multiple_generic_names
aurohex,montelukast ( as sodium) | montelukast (as sodium),DR-XY40869 | DRP-4742,same_brand_name_has_multiple_generic_names
gesitram,tramadol (as hydrochloride) | tramadol hydrochloride,DR-XY40882 | DRP-092,same_brand_name_has_multiple_generic_names
lecit-e 200,d-alpha tocopherol (vitamin e) + lecithin | d-alpha tocopherol + lecithin,DR-XY40962 | DR-XY47362,same_brand_name_has_multiple_generic_names
zefur,cefuroxime (as axetil) | cefuroxime (as sodium),DRP-2356-04 | DRP-8433,same_brand_name_has_multiple_generic_names
azemax,azithromycin (as dihydrate) | azithromycin(as monohydrate),DR-XY41106 | DRP-3248-03,same_brand_name_has_multiple_generic_names
tazidem,ceftazidime | ceftazidime (as pentahydrate),DR-XY41116 | DRP-6053-03,same_brand_name_has_multiple_generic_names
ziprox,ciprofloxacin | ciprofloxacin hydrochloride,DR-XY41119 | DRP-7100,same_brand_name_has_multiple_generic_names
combipul,ipratropium bromide + salbutamol (as sulfate) | salbutamol (as sulfate) + ipratropium bromide,DRP-16038-01 | DRP-6160,same_brand_name_has_multiple_generic_names
cofnil,salbutamol (as sulfate) + bromhexine hydrochloride + guaifenesin | salbutamol (as sulfate) + bromhexine hydrochloride + guiafenesin,DR-XY41155 | DRP-4624,same_brand_name_has_multiple_generic_names
orazinc plus,ascorbic acid (as sodium ascorbate) + zinc (as gluconate) | ascorbic acid + zinc,DR-XY42549 | DR-XY47072,same_brand_name_has_multiple_generic_names
elicort,mometasone (as furoate) | mometasone furoate,DR-XY41202 | DR-XY42264,same_brand_name_has_multiple_generic_names
sinedin,levedopa + carbidopa | levodopa + carbidopa (as monohydrate),DR-XY41327 | DR-XY41871,same_brand_name_has_multiple_generic_names
mucosolvan,ambroxol hydrochloride | ambroxol hydrochlride,DR-XY41618 | DR-XY42650,same_brand_name_has_multiple_generic_names
acifre,omeprazole | omeprazole (as sodium) | omeprazole sodium,DR-XY42726 | DRP-1570-11 | DRP-5930-09,same_brand_name_has_multiple_generic_names
apuldon,domperidone | domperidone (as maleate),DRP-7422 | DRP-7801,same_brand_name_has_multiple_generic_names
irican,irinotecan hydrochloride | irinotecan hydrochloride trihydrate,DR-XY41775 | DR-XY48013,same_brand_name_has_multiple_generic_names
medzart plus,losartan potassium + hydrochlorithiazide | losartan potassium + hydrochlorothiazide,DR-XY41923 | DR-XY42491,same_brand_name_has_multiple_generic_names
trajenta duo,linagliptin + metformin hydrochloride | linagliptin + metformin hyydrochloride,DR-XY47929 | DR-XY47930,same_brand_name_has_multiple_generic_names
sultagold,sultamicillin (as tosylate) | sultamicillin tosilate,DR-XY42437 | DR-XY47711,same_brand_name_has_multiple_generic_names
pzbactam,piperacillin (as sodium) + tazobactam (as sodium) | piperacillin as (sodium) + tazobactam (as sodium),DR-XY42548 | DR-XY48728,same_brand_name_has_multiple_generic_names
clavuxel,co-amoxiclav | co-amoxiclav (see reverse for formulation),DR-XY42810 (For Export Only) | DR-XY44328 (For Export Only),same_brand_name_has_multiple_generic_names
memry,memantine hcl | memantine hydrochloride,DR-XY42967 | DR-XY48342,same_brand_name_has_multiple_generic_names
sublimax,fentanyl | fentanyl (as citrate),DR-XY43003 | DR-XY46838,same_brand_name_has_multiple_generic_names
neopred,prednisolone | prednisolone (as sodium phosphate),DR-XY43017 | DR-XY43263,same_brand_name_has_multiple_generic_names
alduet,montelukast (as sodium) + cetirizine hydrochloride | montelukast sodium + cetirizine hydrochloride,DR-XY43106 | DR-XY47878,same_brand_name_has_multiple_generic_names
servonex,donepezil (as hydrochloride) | donepezil hydrochloride,DR-XY43385 | DR-XY44130,same_brand_name_has_multiple_generic_names
berocca performance,multivitamins + minerals | multivitamins and minerals (orange flavor),DR-XY45715 | DR-XY46749,same_brand_name_has_multiple_generic_names
buclisyr,multivitamins + iron + lysine hydrochloride + buclizine hydrochloride | multivitamins + lysine hcl + buclizine hcl,DR-XY43497 | DR-XY45552,same_brand_name_has_multiple_generic_names
ondavell,ondansetron (as hydrochloride dihydrate) | ondansetron (as hydrochloride),DR-XY43610 | DR-XY43655,same_brand_name_has_multiple_generic_names
nasathera,paracetamol + phenylpropanolamine hydrochloride | phenylpropanolamine hydrochloride + paracetamol,DR-XY4383 | DRP-8436,same_brand_name_has_multiple_generic_names
enafril,enalapril (as maleate) | enalapril maleate,DR-XY43850 | DR-XY44658,same_brand_name_has_multiple_generic_names
seroxyn,salmeterol (as xinafoate) + fluticasone propionate + fluticasone propionate | salmeterol xinafoate + fluticasone propionate,DR-XY44565 | DR-XY44566,same_brand_name_has_multiple_generic_names
hyperzol,omeprazole | omeprazole (as sodium),DR-XY44636 | DRP-5071,same_brand_name_has_multiple_generic_names
natrixam,indapamide + amlodipine (as besilate) | lndapamide + amlodipine (as besilate),DR-XY44704 | DR-XY44705,same_brand_name_has_multiple_generic_names
xiflox,moxifloxacin (as hydrochloride) | moxifloxacin hydrochloride,DR-XY44737 | DR-XY48624,same_brand_name_has_multiple_generic_names
xigduo xr,apagliflozin (as propanediol monohydrate) + metformin hydrochloride | dapagliflozin (as propanediol monohydrate) + metformin hydrochloride,DR-XY44972 | DR-XY44973,same_brand_name_has_multiple_generic_names
aero-vent,salbutamol | salbutamol (as sulfate),DRP-7205-01 | DRP-8462-01,same_brand_name_has_multiple_generic_names
jardiance duo,empagliflozin + metformin hydrochloride | empagliflozin + metformin hydrochloride.,DR-XY45443 | DR-XY47978,same_brand_name_has_multiple_generic_names
royale c plus,ascorbic acid + zinc | ascorbic acid + zinc (as citrate),DR-XY45479 | DRP-10376,same_brand_name_has_multiple_generic_names
maalox plus,aluminum hydroxide + magnesium hydroxide + simethicone | aluminum hydroxide/magnesium hydroxide/simethicone,DR-XY45569 | DR-XY8389,same_brand_name_has_multiple_generic_names
ceelin plus,ascorbic acid + zinc (as sulfate monohydrate) | ascorbic acid + zinc sulfate monohydrate,DR-XY45747 | DRP-15582,same_brand_name_has_multiple_generic_names
zincee,ascorbic acid + zinc | sodium ascorbate + zinc sulfate monohydrate,DR-XY45770 | DRP-13149,same_brand_name_has_multiple_generic_names
molev,montelukast (as sodium) + levocetirizine dihydrochloride | montelukast (as sodium) + levocetirizine hydrochloride,DR-XY48076 | DRP-13221,same_brand_name_has_multiple_generic_names
norvasc,amlodipine (as besilate) | amlodipine besilate,DR-XY45953 | DRP-3429,same_brand_name_has_multiple_generic_names
ceplenext,cefalexin (as monohydrate) | cefalexin monohydrate,DR-XY45968 | DRP-16453,same_brand_name_has_multiple_generic_names
pitator,pitavastatin (as calcium) | pitavastatin calcium,DR-XY46016 | DR-XY47320,same_brand_name_has_multiple_generic_names
maxcee,ascorbic acid | ascorbic acid (as sodium ascorbate),DR-XY46146 | DR-XY49371,same_brand_name_has_multiple_generic_names
voleca,levofloxacin | levofloxacin (as hemihydrate),DRP-8078 | DRP-8428,same_brand_name_has_multiple_generic_names
mighty cee,ascorbic acid | ascorbic acid (as sodium ascorbate),DR-XY46183 | DRP-7728,same_brand_name_has_multiple_generic_names
tazokab,piperacillin (as sodium) + tazobactam (as sodium) | piperacillin + tazobactam,DR-XY46201 | DR-XY46202,same_brand_name_has_multiple_generic_names
gen-cee plus,ascorbic acid (as sodium ascorbate) + zinc | ascorbic acid (as sodium ascorbate) + zinc (as sulfate monohydrate) | ascorbic acid + zinc,DR-XY46278 | DR-XY49402 | DR-XY49539,same_brand_name_has_multiple_generic_names
immunosin,inosine dimepranol acedoben | inosiplex,DR-XY4639 | DR-XY4759,same_brand_name_has_multiple_generic_names
ryvel,cetirizine | cetirizine dihydrochloride,DR-XY46436 | DR-XY49368,same_brand_name_has_multiple_generic_names
novomit,meclizine hydrochloride | meclizne hydrochloride,DR-XY46605 | DR-XY47358,same_brand_name_has_multiple_generic_names
fasrel,ibuprofen (as sodium dihydrate) + paracetamol | paracetamol + ibuprofen (as sodium dihydrate),DR-XY46617 | DR-XY49128,same_brand_name_has_multiple_generic_names
rapidon,olapatadine ( as hydrochloride ) | olopatadine (as hydrochloride),DR-XY46759 | DRP-7228,same_brand_name_has_multiple_generic_names
diabee,thiamine hydrochloride (vitamin b1) + pyridoxine hydrochloride (vitamin b6) + cyanocobalamin (vitamin b12) | thiamine mononitrate (vitamin b1) + pyridoxine hydrochloride (vitamin b6) + cyanocobalamin (vitamin b12),DR-XY46820 | DRP-8176,same_brand_name_has_multiple_generic_names
diabee forte,thiamine monitrate (vitamin b1) + pyridoxine hydrochloride (vitamin b6) + cyanocobalamin (vitamin b12) | thiamine mononitrate (vitamin b1)+pyridoxine hydrochloride (vitamine b6)+cyanocobalamine (vitamin b12),DR-XY46822 | DRP-7815,same_brand_name_has_multiple_generic_names
diclosafe,diclofenac diethylamine | diclofenac sodium,DR-XY46858 | DR-XY48209,same_brand_name_has_multiple_generic_names
vexdopa,levodopa + carbidopa | levodopa + carbidopa (as monohydrate),DR-XY46969 | DRP-7708-02,same_brand_name_has_multiple_generic_names
zolesar,zoledronic acid | zoledronic acid (as monohydrate),DR-XY47017 | DR-XY49534,same_brand_name_has_multiple_generic_names
pradol,paracetamol + tramadol hydrochloride | paracetamol+tramadol hydrochloride,DR-XY47075 | DRP-8189,same_brand_name_has_multiple_generic_names
calpol,paracetamol | paracetamol 250 mg/5 ml suspension,DRHR-2132 | DRHR-913,same_brand_name_has_multiple_generic_names
izbrid,salbutamol (as sulfate) + guafenesin | salbutamol (as sulfate) + guaifenesin,DR-XY47326 | DR-XY47981,same_brand_name_has_multiple_generic_names
ertasure,ertapenem | ertapenem (as sodium),DR-XY47377 | DRP-12571,same_brand_name_has_multiple_generic_names
estellar plus,: telmisartan + amlodipine (as besilate) | telmisartan + amlodipine (as besilate),DR-XY47400 | DR-XY47401,same_brand_name_has_multiple_generic_names
ferlin,iron + vitamin b complex | multivitamin + iron,DR-XY47419 | DRP-14432,same_brand_name_has_multiple_generic_names
jasz-c,ascorbic + zinc | ascorbic acid + zinc,DR-XY47443 | DRP-11835,same_brand_name_has_multiple_generic_names
montral,montelukast (as sodium ) + levocetirizine hydrochloride | montelukast (as sodium) + levocetirizine hydrochloride,DR-XY47468 | DRP-11288,same_brand_name_has_multiple_generic_names
candigo,clotimazole | clotrimazole,DR-XY47859 | DRP-14023,same_brand_name_has_multiple_generic_names
immunforte,ascorbic acid + zinc + cholecalciferol (vitamin d3) | ascorbic acid + zinc + colecalciferol (vitamin d3),DR-XY47643 | DR-XY47926,same_brand_name_has_multiple_generic_names
adivia met,per kit contains: sitagliptin (as phosphate monohydrate) 50 mg film coated tablet + metformin hydrochloride 1 g extended release tablet | sitagliptin (as phosphate monohydrate) + metformin hydrochloride | sitagliptin (as phosphate) + metformin hydrochloride,DR-XY47649 | DRP-10411 | DRP-12817-02,same_brand_name_has_multiple_generic_names
vicks vapodrops,menthol + glycyrrhiza glabra (liquorice root) + zingiber officinale (ginger rhizome) + phyllanthus emblica (indian gooseberry fruit) | menthol + glycyrrhiza glabra (liquorice) root + zingiber officinale (ginger) rhizome + phyllantus emblica (indian gooseberry) fruit,DR-XY47698 | DR-XY47940,same_brand_name_has_multiple_generic_names
klozivex,aciclovir | acyclovir,DR-XY47707 | DR-XY48969,same_brand_name_has_multiple_generic_names
sultamin,sultamicillin (as tosylate) | sultamicillin tosilate,DR-XY47712 | DRP-3489,same_brand_name_has_multiple_generic_names
zunamyn,sultamicillin (as tosylate) | sultamicillin tosilate,DR-XY47714 | DRP-5380,same_brand_name_has_multiple_generic_names
kremil-s cool relief,aluminum hydroxide + magnesium hydroxide + simethicone | sodium alginate + sodium bicarbonate + calcium carbonate,DR-XY47731 | DRP-7065-01,same_brand_name_has_multiple_generic_names
mediplast,complete wound management kit | emergency kit | first aid kit | salicylic acid,DR-XY47753 | DR-XY47756 | DR-XY47757 | DRHR-97,same_brand_name_has_multiple_generic_names
meroz,meropenem | meropenem (as trihydrate),DR-XY47826 | DRP-16944,same_brand_name_has_multiple_generic_names
mucin,mupirocin | mupirocin (as calcium dihydrate),DR-XY47843 | DR-XY47899,same_brand_name_has_multiple_generic_names
dacihep 30,daclastavir (as dihydrochloride) | daclastavir dihydrochloride,DR-XY47856 | DR-XY47857,same_brand_name_has_multiple_generic_names
gemcilex,gemcitabine | gemcitabine(as hydrochloride),DR-XY47898 | DR-XY47947,same_brand_name_has_multiple_generic_names
pemex,pemetrexed | pemetrexed (as disodium),DR-XY47913 | DR-XY47914,same_brand_name_has_multiple_generic_names
dianeal pd-4,peritoneal dialysis solution low calcium with 1.5% dextrose | peritoneal dialysis solution low calcium with 2.5% dextrose | peritoneal dialysis solution low calcium with 4.25% dextrose,DR-XY47921 | DR-XY47922 | DR-XY47923,same_brand_name_has_multiple_generic_names
rovix,cefuroxime (as axetil) | cefuroxime (as sodium),DRP-2356-01 | DRP-3959,same_brand_name_has_multiple_generic_names
conchoice,levonorgestrel + ethinylestradiol | levonorgestrel + ethinylestradiol conchoice,DR-XY47960 | DRP-12686,same_brand_name_has_multiple_generic_names
lignovell,lidocaine (as hydrochloride) | lidocaine hydrochloride,DR-XY48054 | DR-XY49141,same_brand_name_has_multiple_generic_names
pemexbil,pemetrexed | pemetrexed (as disodium),DR-XY48059 | DR-XY48060,same_brand_name_has_multiple_generic_names
selaglob 800,sevelamer (as carbonate) | sevelamer carbonate,DR-XY48067 | DRP-13610,same_brand_name_has_multiple_generic_names
ciclodin iv,ciprofloxacin | ciprofloxacin (as hydrochloride),DR-XY48159 | DRP-3261,same_brand_name_has_multiple_generic_names
ciprobay,ciprofloxacin | ciprofloxacin (as hydrochloride) | ciprofloxacin (as lactate),DR-XY48775 | DR-XY5324 | DRP-7194,same_brand_name_has_multiple_generic_names
rosufen,fenofibrate + rosuvastatin (as calcium) | rosuvastatin (as calcium + fenofibrate | rosuvastatin (as calcium) + fenofibrate,DR-XY48234 | DR-XY48235 | DRP-12612,same_brand_name_has_multiple_generic_names
migratan,rizatriptan | rizatriptan (as benzoate),DR-XY48260 | DR-XY48841,same_brand_name_has_multiple_generic_names
meconerv,mecobalamin | methylcobalamine,DR-XY48322 | DR-XY48323,same_brand_name_has_multiple_generic_names
remifemin,cimicifuga racemosa l (black cohosh root &amp; rhizome) | cimicifuga racemosa l. (black cohosh) rhizome,DR-XY48447 | HMR-21,same_brand_name_has_multiple_generic_names
riltared,erlotinib (as hydrochloride | erlotinib (as hydrochloride),DR-XY48549 | DR-XY48565,same_brand_name_has_multiple_generic_names
torsit 50,sitagliptin (as phosphate monohydrate) | sitagliptin (as phosphate),DR-XY48588 | DRP-9078-07,same_brand_name_has_multiple_generic_names
torsit 100,sitagliptin (as phosphate monohydrate) | sitagliptin (as phosphate),DR-XY48589 | DRP-9079-07,same_brand_name_has_multiple_generic_names
apretude,cabotegravir | cabotegravir (as sodium),DR-XY48834 | DR-XY48835,same_brand_name_has_multiple_generic_names
telmipin,telmisartan + amlodipine (as besilate) | telmisartan + amlodipine(as besilate),DR-XY48844 | DR-XY48847,same_brand_name_has_multiple_generic_names
d-rize,cholecalciferol (vitamin d3) | colecalciferol,DR-XY48869 | DR-XY49366,same_brand_name_has_multiple_generic_names
claxon,co amoxiclav | co-amoxiclav,DR-XY48899 | DR-XY49277,same_brand_name_has_multiple_generic_names
rozlytrek,entrectinib | entrectinib nib,DR-XY48929 | DR-XY48930,same_brand_name_has_multiple_generic_names
catania,dapagliflozin | dapagliflozin (as propanediol monohydrate),DRP-11789-07 | DRP-15342-01,same_brand_name_has_multiple_generic_names
brintellix,vortioxetine (as hydrobromide) | vortioxetine( as hydrobromide) | vortioxetine(as hydrobromide),DRP-11121 | DRP-11123 | DRP-11124,same_brand_name_has_multiple_generic_names
nuron-e,multivitamins | thiamine hydrochloride + pyridoxine hydrochloride + cyanocobalamin + dl-alpha tocopheryl acetate,DR-XY49202 | DR-XY7537,same_brand_name_has_multiple_generic_names
immunec,ascorbic acid | ascorbic acid + cholecalciferol (vitamin d3) + zinc,DR-XY49232 | DR-XY49361,same_brand_name_has_multiple_generic_names
cainedent,articaine hydrochloride + epinephrine (as bitartrate) | articaine hydrochloride + epinephrine (as bitartrate) (for export use only),DR-XY49278 | DRP-16173,same_brand_name_has_multiple_generic_names
amosartan q,losartan potassium + rosuvastatin (as calcium) + amlodipine (as camsilate) | losartan potassium + rosuvastatin (as calcium) amlodipine (as camsilate),DR-XY49279 | DR-XY49282,same_brand_name_has_multiple_generic_names
appetamine with iron,multivitamins + iron + l-lysine + buclizine | multivitamins + iron + lysine + buclizine | multivitamins + iron + lysine hydrochloride + buclizine hydrochloride | multivitamins + lysine + iron + buclizine,DR-XY49290 | DR-XY49362 | DRP-12237 | DRP-12240,same_brand_name_has_multiple_generic_names
skiip,nicotine | nicotine polacrilex,DR-XY49376 | DR-XY49446,same_brand_name_has_multiple_generic_names
appetamine ob,multivitamins + iron + calcium | multivitamins + mineral,DR-XY49363 | DRP-12296,same_brand_name_has_multiple_generic_names
dabiqx,dabigatran etexilate (as mesilate) | dabigatran etexilate (as mesylate),DR-XY49426 | DRP-16488,same_brand_name_has_multiple_generic_names
stanis,betahistine dihydrochloride | betahistine hydrochloride,DR-XY49463 | DR-XY49650,same_brand_name_has_multiple_generic_names
calciubone vita 3,calcium cholecalciferol (vitamin d3) | cholecalciferol (vitamin d3),DR-XY49598 | DRP-14363,same_brand_name_has_multiple_generic_names
dapazin met,dapagliflozin (as propanediol monohydrate) + metformin hydrochloride (in extended-release form) | dapagliflozin + metformin hydrochloride,DR-XY49682 | DRP-16260-03,same_brand_name_has_multiple_generic_names
solmux broncho,salbutamol (as sulfate) + carbocisteine | salbutamol + carbocisteine,DR-XY678 | DRP-14219,same_brand_name_has_multiple_generic_names
lorpican,chloramphenicol | chloramphenicol (as palmitate),DR-XY7625 | DRP-8560,same_brand_name_has_multiple_generic_names
michael,ethyl alcohol | isopropyl alcohol,DRHR-1084 | DRHR-656,same_brand_name_has_multiple_generic_names
biogenic,ethyl alcohol | isopropyl alcohol,DRHR-1120 | DRHR-2344,same_brand_name_has_multiple_generic_names
katinko,isopropyl alcohol | menthol | menthol + camphor | methyl salicylate + menthol + camphor,DRHR-1935 | DRHR-1955 | DRHR-2243 | DRHR-2364,same_brand_name_has_multiple_generic_names
tiger balm white,dementholized mint oil/ cajuput oil/ camphor/ menthol/ clove oil | mint oil + cajuput oil + camphor + menthol,DRHR-1174 | DRHR-1514,same_brand_name_has_multiple_generic_names
tiger balm red,camphor + menthol + cajuput oil + mint oil + clove oil | camphor/ menthol/ cajuput oil/ dementholized mint oil/ clove oil/ cassia oil,DRHR-1175 | DRHR-1940,same_brand_name_has_multiple_generic_names
ultrasept,benzalkonium chloride | gentian violet,DRHR-1189 | DRHR-1221,same_brand_name_has_multiple_generic_names
tiger balm neck and shoulder rub,camphor + menthol + dementholised mint oil | camphor+ menthol+ dementholised mint oil,DRHR-1317 | DRHR-1916,same_brand_name_has_multiple_generic_names
strepsils,"2, 4- dichlorobenzyl alcohol + amylmetacresol | 2,4 dichlorobenzyl alcohol + amylmetacresol | 2,4-dichlorobenzyl alcohol/ amylmetacresol | dichlorobenzyl alcohol + amylmetacresol",DRHR-1496 | DRHR-1557 | DRHR-1644 | DRHR-1767,same_brand_name_has_multiple_generic_names
hyclens,chlorhexidine | chlorhexidine digluconate,DRHR-1627 | DRHR-2049,same_brand_name_has_multiple_generic_names
zetadone,povidone iodine | povidone-iodine,HRP-353 | HRP-479,same_brand_name_has_multiple_generic_names
megascent oil,methyl salicylate + camphor + menthol + eucalyptus oil | methyl salicylate / camphor / menthol / eucalyptus oil,DRHR-17 | DRHR-2123,same_brand_name_has_multiple_generic_names
golden cup oil,menthol + mentha x piperita + camphor + syzygium aromaticum | menthol + peppermint oil + camphor + clove oil,DRHR-1713 | DRHR-1887,same_brand_name_has_multiple_generic_names
dequadin lemon,dequalinium chloride | dequalinium chloride (for export only),DRHR-1779 | DRHR-1906,same_brand_name_has_multiple_generic_names
dequadin orange,dequalinium chloride | dequalinium chloride (for export only),DRHR-1781 | DRHR-1827 (For Export Only),same_brand_name_has_multiple_generic_names
dequadin citrus,dequalinium chloride | dequalinium chloride (for export only),DRHR-1785 | DRHR-1825,same_brand_name_has_multiple_generic_names
surebuy,ethyl alcohol | isopropyl alcohol,DRHR-1794 | DRHR-1831,same_brand_name_has_multiple_generic_names
hyclens ob,chlorhexidine | chlorhexidine digluconate,DRHR-1824 | DRHR-2052,same_brand_name_has_multiple_generic_names
maridan,ethyl alcohol | isopropyl alcohol,DRHR-2043 | DRHR-2071,same_brand_name_has_multiple_generic_names
maxidine,povidone iodine | povidone-iodine,DRHR-2083 | HRP-427,same_brand_name_has_multiple_generic_names
efficascent relaxscent oil,menthol + camphor + eucalyptus oil | menthol + eucalyptus oil + camphor,DRHR-1910 | DRHR-2270,same_brand_name_has_multiple_generic_names
saver select,ethyl alcohol | isopropyl alcohol,DRHR-1945 | DRHR-2028,same_brand_name_has_multiple_generic_names
doctor j,70% isopropyl alcohol solution unscented | ethyl alcohol | isopropyl alcohol,DRHR-2128 | DRHR-704 | DRHR-846,same_brand_name_has_multiple_generic_names
savers select,ethyl alcohol | isopropyl alcohol,DRHR-1973 | DRHR-2237,same_brand_name_has_multiple_generic_names
tretinoin,claritret clarifying and rejuvenating toner | claritret clarity night cream,DRHR-2078 | DRHR-2079,same_brand_name_has_multiple_generic_names
septofort,chlorhexidine | chrlorhexidine,DRHR-2085 | DRHR-2101,same_brand_name_has_multiple_generic_names
alcoplus,ethyl alcohol | isopropyl alcohol,DRHR-2309 | HRP-610,same_brand_name_has_multiple_generic_names
hygienix,ethyl alcohol | isopropyl alcohol,DRHR-2205 | DRHR-2210,same_brand_name_has_multiple_generic_names
huntergreen,ethyl alcohol | isopropyl alcohol,DRHR-2207 | DRHR-2211,same_brand_name_has_multiple_generic_names
leon,menthol + camphor + eucalyptus oil | methyl salicylate + menthol + camphor,DRHR-2203 | DRHR-2204,same_brand_name_has_multiple_generic_names
katinko calming,camphor + menthol + lavender oil | methyl salicylate + camphor + menthol | methyl salicylate + menthol + camphor,DRHR-2209 | DRHR-2350 | DRHR-2453,same_brand_name_has_multiple_generic_names
balsamo carminativo,"fluid extract orange peel bitter, fluid extract glycyrrhiza, fluid extract rhubarb | sodium bicarbonate",DRHR-223 | HRP-350,same_brand_name_has_multiple_generic_names
omega pain killer,methyl salicylate + camphor + menthol | methyl salicylate + menthol + camphor,DRHR-2335 (For Export Only) | DRHR-782,same_brand_name_has_multiple_generic_names
alcoshield,ethyl alcohol | isopropyl alcohol,DRHR-2492 | DRHR-2493,same_brand_name_has_multiple_generic_names
pureform,ethyl alcohol | isopropyl alcohol,DRHR-2277 | DRHR-2278,same_brand_name_has_multiple_generic_names
perfect defense,ethyl alcohol | isopropyl alcohol,DRHR-2310 | DRHR-2352,same_brand_name_has_multiple_generic_names
angel's flo,ethyl alcohol | isopropyl alcohol,DRHR-2382 | DRHR-2447,same_brand_name_has_multiple_generic_names
family,ethyl alcohol | isopropyl alcohol,DRHR-2371 | DRHR-282,same_brand_name_has_multiple_generic_names
pureshield,ethyl alcohol | isopropyl alcohol,DRHR-2414 | DRHR-2415,same_brand_name_has_multiple_generic_names
vicks vaporub ointment,camphol + menthol + eucalyptus oil | camphor menthol + eucalyptus oil,DRHR-2485 | DRHR-279,same_brand_name_has_multiple_generic_names
mama's touch mentholated vapor rub,camphor + eucalyptus oil + menthol | camphor eucalyptus oil + menthol,DRHR-2498 | DRHR-2499,same_brand_name_has_multiple_generic_names
salonpas,methyl salicylate + l-menthol + tocopherol acetate dl-camphor | methyl salicylate l-menthol tocopherol acetate dl-camphor,DRHR-551 | DRHR-821,same_brand_name_has_multiple_generic_names
co-aprovel,irbesartan + hydrochlorothiazide | irbesartan/hydrochlorothiazide,DRP-001 | DRP-5717,same_brand_name_has_multiple_generic_names
appetason,multivitamins + iron + lysine | vitamin b complex + ferrous sulfate + l-lysine appetason | vitamin b complex + iron + buclizine hydrochloride,DRP-028 | DRP-4566 | DRP-512,same_brand_name_has_multiple_generic_names
ferosal,ferrous sulfate | ferrous sulfate heptahydrate | vitamin b-complex + ferrous fumarate,DRP-029 | DRP-162 | DRP-5179,same_brand_name_has_multiple_generic_names
altoxime,cefuroxime (as axetil) | cefuroxime (as sodium),DRP-2356-02 | DRP-7789-04,same_brand_name_has_multiple_generic_names
ceft,cefuroxime (as axetil) | cefuroxime (as sodium),DRP-076-02 | DRP-8191,same_brand_name_has_multiple_generic_names
multilem,multivitamins | multivitamins syrup,DRP-077 | DRP-485,same_brand_name_has_multiple_generic_names
encorate chrono 500,sodium valproate + valproic acid | sodium valproate + valproic acid (as sodium valproate),DRP-10110 | DRP-9908,same_brand_name_has_multiple_generic_names
qualcet,cetirizine dihydrochloride | cetirizine hydrochloride,DRP-3707-04 | DRP-5754-06,same_brand_name_has_multiple_generic_names
albulem,salbutamol | salbutamol (as sulfate),DRP-1014 | DRP-7106,same_brand_name_has_multiple_generic_names
vitcee plus,ascorbic acid (as sodium ascorbate) + zinc (as sulfate monohydrate) | ascorbic acid + zinc,DRP-10183 | DRP-11707,same_brand_name_has_multiple_generic_names
sydenhex,bromhexine hydrochloride | bromhexine hydrochloride.,DRP-13367 | DRP-14670,same_brand_name_has_multiple_generic_names
cgen,ascorbic acid | ascorbic acid (as sodium ascorbate),DRP-10319 | HRP-185-04,same_brand_name_has_multiple_generic_names
citisaph,citicoline | citicoline (as sodium),DRP-10410 | DRP-13905,same_brand_name_has_multiple_generic_names
lupigliptin plus,metformin hydrochloride + sitagliptin (as phosphate monohydrate) | sitagliptin (as phosphate monohydrate) + metformin hydrochloride,DRP-10411-01 | DRP-12817-01,same_brand_name_has_multiple_generic_names
