Drug A,Drug B,Comparison Type,Jaro-Winkler Sim,Levenshtein Dist,Soundex Match
Gleolan (Brand),Gleostine (Brand),Brand-to-Brand,0.854,4,50%
Lumigan (Brand),Lumisight (Brand),Brand-to-Brand,0.854,4,75%
Carbzah (Brand),Carbatrol (Brand),Brand-to-Brand,0.854,5,75%
Carbzah (Brand),Carbidopa (Brand),Brand-to-Brand,0.854,5,75%
Carbzah (Brand),Carbidopa (Brand),Brand-to-Brand,0.854,5,75%
Estring (Brand),estradiol acetate (Generic),Brand-to-Generic,0.854,4,100%
Estring (Brand),Estradiol Valerate (Brand),Brand-to-Brand,0.854,4,100%
Vigamox (Brand),Vigadrone (Brand),Brand-to-Brand,0.854,4,50%
Humatin (Brand),Humatrope (Brand),Brand-to-Brand,0.854,4,75%
balanced salt solution (Generic),desmopressin acetate oral solution (Generic),Generic-to-Generic,0.854,14,25%
Deferasorox (Brand),deferoxamine mesylate (Generic),Brand-to-Generic,0.8538,7,100%
ensitrelvir (Generic),ensifentrine (Generic),Generic-to-Generic,0.8538,7,75%
fluorescein (Generic),fluocinonide (Generic),Generic-to-Generic,0.8538,7,50%
fluorescein sodium (Generic),fluocinonide (Generic),Generic-to-Generic,0.8538,7,50%
methoxsalen (Generic),methotrexate (Generic),Generic-to-Generic,0.8538,6,50%
beractant alfa (Generic),vestronidase alfa (Generic),Generic-to-Generic,0.8537,9,0%
bezlotoxumab (Generic),zolbetuximab (Generic),Generic-to-Generic,0.8535,7,25%
drospirenone (Generic),prednisolone (Generic),Generic-to-Generic,0.8535,7,25%
drospirenone (Generic),prednisolone acetate (Generic),Generic-to-Generic,0.8535,7,25%
drospirenone (Generic),prednisolone sodium phosphate (Generic),Generic-to-Generic,0.8535,7,25%
axitinib (Generic),abrocitinib (Generic),Generic-to-Generic,0.8534,4,25%
axitinib (Generic),avapritinib (Generic),Generic-to-Generic,0.8534,4,25%
Coreg (Brand),Corvert (Brand),Brand-to-Brand,0.8533,3,50%
Alora (Brand),Aloprim (Brand),Brand-to-Brand,0.8533,3,50%
Halog (Brand),Halcion (Brand),Brand-to-Brand,0.8533,3,75%
Halog (Brand),Halcion (Brand),Brand-to-Brand,0.8533,3,75%
Arava (Brand),Arakoda (Brand),Brand-to-Brand,0.8533,3,50%
Creon (Brand),Crestor (Brand),Brand-to-Brand,0.8533,3,50%
Cystadane (Brand),Cystadrops (Brand),Brand-to-Brand,0.8533,4,100%
Visipaque (Brand),Visionblue (Brand),Brand-to-Brand,0.8533,4,50%
Pred Mild (Brand),prednisolone (Generic),Brand-to-Generic,0.8533,7,100%
Pred Mild (Brand),prednisolone sodium phosphate (Generic),Brand-to-Generic,0.8533,7,100%
Alkindi Sprinkle (Brand),Depakote Sprinkles (Brand),Brand-to-Brand,0.8533,9,25%
selenium acid (Generic),Fenofibric Acid (Brand),Generic-to-Brand,0.8532,8,0%
selenium acid (Generic),ethacrynic acid (Generic),Generic-to-Generic,0.8532,9,0%
choriogonadotropin alfa (Generic),follitropin alfa and beta (Generic),Generic-to-Generic,0.8531,20,0%
Metopirone (Brand),metronidazole (Generic),Brand-to-Generic,0.853,6,50%
diatrizoate meglumine (Generic),gadobenate dimeglumine (Generic),Generic-to-Generic,0.853,9,25%
Nexletol (Brand),Nextstellis (Brand),Brand-to-Brand,0.8527,6,50%
Tessalon (Brand),tesamorelin (Generic),Brand-to-Generic,0.8527,6,50%
Zonegran (Brand),zongertinib (Generic),Brand-to-Generic,0.8527,6,100%
delgocitinib (Generic),deuruxolitinib phosphate (Generic),Generic-to-Generic,0.8527,5,50%
tividenofusp alfa (Generic),alglucosidase alfa (Generic),Generic-to-Generic,0.8526,12,0%
Prelone (Brand),Apresoline (Brand),Brand-to-Brand,0.8524,4,0%
Prelone (Brand),Apresoline (Brand),Brand-to-Brand,0.8524,4,0%
Prelone (Brand),Apresoline (Brand),Brand-to-Brand,0.8524,4,0%
Pred Mild (Brand),prednisone (Generic),Brand-to-Generic,0.8524,6,100%
carglumic acid (Generic),Selenious Acid (Brand),Generic-to-Brand,0.8524,9,0%
lefamulin acetate (Generic),leflunomide (Generic),Generic-to-Generic,0.8521,7,50%
Polocaine (Brand),polidocanol (Generic),Brand-to-Generic,0.8521,5,50%
Deltasone (Brand),Delestrogen (Brand),Brand-to-Brand,0.8521,6,50%
Fluorescite (Brand),fluorometholone (Generic),Brand-to-Generic,0.8521,8,75%
Fluorescite (Brand),fluorometholone acetate (Generic),Brand-to-Generic,0.8521,8,75%
asfotase alfa (Generic),olipudase alfa (Generic),Generic-to-Generic,0.8521,6,50%
crizanlizumab (Generic),rozanolixizumab (Generic),Generic-to-Generic,0.8521,5,0%
sebelipase alfa (Generic),alglucosidase alfa (Generic),Generic-to-Generic,0.852,9,0%
sebelipase alfa (Generic),velaglucerase alfa (Generic),Generic-to-Generic,0.852,8,0%
Taxol (Brand),betaxolol hydrochloride (Generic),Brand-to-Generic,0.8519,4,0%
Actos (Brand),lactulose (Generic),Brand-to-Generic,0.8519,4,50%
Lithostat (Brand),Nitrostat (Brand),Brand-to-Brand,0.8519,2,25%
Besivance (Brand),Kepivance (Brand),Brand-to-Brand,0.8519,2,50%
bosutinib (Generic),ibrutinib (Generic),Generic-to-Generic,0.8519,3,0%
ceritinib (Generic),gefitinib (Generic),Generic-to-Generic,0.8519,2,50%
cetuximab (Generic),margetuximab (Generic),Generic-to-Generic,0.8519,4,25%
clonidine (Generic),dyclonine hydrochloride (Generic),Generic-to-Generic,0.8519,4,0%
clonidine hydrochloride (Generic),dyclonine hydrochloride (Generic),Generic-to-Generic,0.8519,4,0%
dasatinib (Generic),lapatinib (Generic),Generic-to-Generic,0.8519,2,50%
degarelix (Generic),ganirelix acetate (Generic),Generic-to-Generic,0.8519,4,50%
diazoxide (Generic),nitazoxanide (Generic),Generic-to-Generic,0.8519,4,25%
erlotinib (Generic),neratinib (Generic),Generic-to-Generic,0.8519,3,25%
erlotinib (Generic),tepotinib hydrochloride (Generic),Generic-to-Generic,0.8519,3,0%
iopromide (Generic),disopyramide phosphate (Generic),Generic-to-Generic,0.8519,4,0%
midazolam (Generic),triazolam (Generic),Generic-to-Generic,0.8519,3,50%
mitomycin (Generic),azithromycin dihydrate (Generic),Generic-to-Generic,0.8519,4,0%
mitomycin (Generic),azithromycin monohydrate (Generic),Generic-to-Generic,0.8519,4,0%
neratinib (Generic),ponatinib hydrochloride (Generic),Generic-to-Generic,0.8519,3,50%
niraparib (Generic),rucaparib (Generic),Generic-to-Generic,0.8519,3,50%
opicapone (Generic),tolcapone (Generic),Generic-to-Generic,0.8519,3,50%
Cuprimine (Brand),primidone (Generic),Brand-to-Generic,0.8519,4,0%
ponatinib hydrochloride (Generic),tepotinib hydrochloride (Generic),Generic-to-Generic,0.8519,4,50%
ponesimod (Generic),siponimod (Generic),Generic-to-Generic,0.8519,4,25%
tividenofusp alfa (Generic),pegunigalsidase alfa (Generic),Generic-to-Generic,0.8519,13,0%
methotrexate (Generic),methylnaltrexone bromide (Generic),Generic-to-Generic,0.8517,7,50%
apremilast (Generic),aprepitant (Generic),Generic-to-Generic,0.8514,3,75%
apremilast (Generic),Apresoline (Brand),Generic-to-Brand,0.8514,5,75%
Solu-Cortef (Brand),Solu-Medrol (Brand),Brand-to-Brand,0.8514,6,50%
methylene blue (Generic),methyltestosterone (Generic),Generic-to-Generic,0.8514,10,75%
bupropion (Generic),buprenorphine (Generic),Generic-to-Generic,0.8509,6,75%
bupropion (Generic),buprenorphine hydrochloride (Generic),Generic-to-Generic,0.8509,6,75%
bupropion hydrochloride (Generic),buprenorphine (Generic),Generic-to-Generic,0.8509,6,75%
bupropion hydrochloride (Generic),buprenorphine hydrochloride (Generic),Generic-to-Generic,0.8509,6,75%
Micort Hc Cream (Brand),Micardis Hct (Brand),Brand-to-Brand,0.8509,5,100%
Trileptal (Brand),Tri-Estarylla (Brand),Brand-to-Brand,0.8509,6,50%
Trileptal (Brand),triheptanoin (Generic),Brand-to-Generic,0.8509,5,50%
Lovenox (Brand),Lotronex (Brand),Brand-to-Brand,0.8508,4,25%
Amidate (Brand),Amjevita (Brand),Brand-to-Brand,0.8508,5,50%
Cerebyx (Brand),Celebrex (Brand),Brand-to-Brand,0.8508,3,50%
Vitrase (Brand),Vistaril (Brand),Brand-to-Brand,0.8508,5,25%
Kaletra (Brand),Katerzia (Brand),Brand-to-Brand,0.8508,4,25%
Yupelri (Brand),Yutrepia (Brand),Brand-to-Brand,0.8508,5,25%
Naropin (Brand),naproxen (Generic),Brand-to-Generic,0.8508,3,25%
Naropin (Brand),Naprosyn (Brand),Brand-to-Brand,0.8508,3,25%
Naropin (Brand),naproxen sodium (Generic),Brand-to-Generic,0.8508,3,25%
sotalol hydrochloride (Generic),Soltamox (Brand),Generic-to-Brand,0.8508,3,25%
liothyronine sodium (Generic),levothyroxine sodium (Generic),Generic-to-Generic,0.8508,3,25%
trifluridine (Generic),teriflunomide (Generic),Generic-to-Generic,0.8508,5,100%
darbepoetin alfa (Generic),tividenofusp alfa (Generic),Generic-to-Generic,0.8507,10,0%
follitropin alfa (Generic),taliglucerase alfa (Generic),Generic-to-Generic,0.8507,11,25%
sitagliptin hydrochloride oral (Generic),metronidazole oral (Generic),Generic-to-Generic,0.8507,11,25%
metronidazole (Generic),metoclopramide hydrochloride (Generic),Generic-to-Generic,0.8505,9,50%
sebelipase alfa (Generic),efgartigimod alfa (Generic),Generic-to-Generic,0.8505,11,25%
ceritinib (Generic),cetirizine (Generic),Generic-to-Generic,0.8504,5,25%
ceritinib (Generic),cetirizine hydrochloride (Generic),Generic-to-Generic,0.8504,5,25%
tizanidne hydrochloride (Generic),Tinidazole (Brand),Generic-to-Brand,0.8504,6,25%
promethazine (Generic),prochlorperazine (Generic),Generic-to-Generic,0.8503,8,50%
promethazine hydrochloride (Generic),prochlorperazine (Generic),Generic-to-Generic,0.8503,8,50%
ethinyl estradiol (Generic),icosapent ethinyl (Generic),Generic-to-Generic,0.8502,15,0%
ezetimibe and simvastatin (Generic),bempedoic acid and ezetimibe (Generic),Generic-to-Generic,0.8501,21,0%
Lumigan (Brand),lumasiran (Generic),Brand-to-Generic,0.85,3,75%
Ritalin (Brand),ritonavir (Generic),Brand-to-Generic,0.85,4,50%
Torisel (Brand),torsemide (Generic),Brand-to-Generic,0.85,5,75%
Abrilada (Brand),Aristada (Brand),Brand-to-Brand,0.85,3,25%
Cycloset (Brand),Cyclogyl (Brand),Brand-to-Brand,0.85,3,100%
Vectical (Brand),Vectibix (Brand),Brand-to-Brand,0.85,3,75%
Restasis (Brand),Restoril (Brand),Brand-to-Brand,0.85,3,75%
Procysbi (Brand),procarbazine hydrochloride (Generic),Brand-to-Generic,0.85,6,75%
Clarinex (Brand),Claravis (Brand),Brand-to-Brand,0.85,4,75%
Dexilant (Brand),Dilantin (Brand),Brand-to-Brand,0.85,4,25%
Dilantin (Brand),Dilaudid (Brand),Brand-to-Brand,0.85,3,75%
Phenytek (Brand),phentolamine mesylate (Generic),Brand-to-Generic,0.85,8,75%
Claravis (Brand),Claritin (Brand),Brand-to-Brand,0.85,3,75%
lactitol (Generic),lactulose (Generic),Generic-to-Generic,0.85,4,75%
Prevacid (Brand),Prevymis (Brand),Brand-to-Brand,0.85,3,75%
naloxone hydrochloride (Generic),ganaxolone (Generic),Generic-to-Generic,0.85,4,25%
Spinraza (Brand),spinosad (Generic),Brand-to-Generic,0.85,4,75%
Definity (Brand),Defitelio (Brand),Brand-to-Brand,0.85,5,50%
Betadine (Brand),Betapace (Brand),Brand-to-Brand,0.85,3,50%
Thalomid (Brand),Thalitone (Brand),Brand-to-Brand,0.85,5,50%
thiotepa (Generic),Thiola Ec (Brand),Generic-to-Brand,0.85,5,50%
methylergonovine maleate (Generic),methyltestosterone (Generic),Generic-to-Generic,0.85,8,75%
methylnaltrexone bromide (Generic),methyltestosterone (Generic),Generic-to-Generic,0.85,7,75%
pravastatin magnesium (Generic),esomeprazole magnesium (Generic),Generic-to-Generic,0.8499,11,0%
vestronidase alfa (Generic),taliglucerase alfa (Generic),Generic-to-Generic,0.8497,10,0%
Selenious Acid (Brand),deoxycholic acid (Generic),Brand-to-Generic,0.8496,9,0%
folic acid (Generic),bempedoic acid (Generic),Generic-to-Generic,0.8495,7,0%
olipudase alfa (Generic),velaglucerase alfa (Generic),Generic-to-Generic,0.8493,8,25%
thyrotropin alfa (Generic),efgartigimod alfa (Generic),Generic-to-Generic,0.8493,11,25%
Tryvio (Brand),Entyvio (Brand),Brand-to-Brand,0.8492,3,0%
Valnac (Brand),Nevanac (Brand),Brand-to-Brand,0.8492,3,50%
Evoxac (Brand),Voyxact (Brand),Brand-to-Brand,0.8492,3,25%
Neoral (Brand),Inderal (Brand),Brand-to-Brand,0.8492,3,0%
Onsura (Brand),Tolsura (Brand),Brand-to-Brand,0.8492,2,50%
Onsura (Brand),Lonsurf (Brand),Brand-to-Brand,0.8492,2,75%
Atarax (Brand),Natpara (Brand),Brand-to-Brand,0.8492,3,25%
Atarax (Brand),Natpara (Brand),Brand-to-Brand,0.8492,3,25%
Forane (Brand),Oralone (Brand),Brand-to-Brand,0.8492,3,25%
Amzeeq (Brand),Lamzede (Brand),Brand-to-Brand,0.8492,3,50%
Ultane (Brand),Veltane (Brand),Brand-to-Brand,0.8492,2,75%
Tivdak (Brand),Fotivda (Brand),Brand-to-Brand,0.8492,3,0%
Retin-A (Brand),Arestin (Brand),Brand-to-Brand,0.8492,3,0%
Sabril (Brand),Tysabri (Brand),Brand-to-Brand,0.8492,3,0%
Coartem (Brand),Dotarem (Brand),Brand-to-Brand,0.8492,3,25%
Izervay (Brand),Beizray (Brand),Brand-to-Brand,0.8492,4,50%
somatropin recombinant (Generic),insulin recombinant human (Generic),Generic-to-Generic,0.849,14,25%
Mepron (Brand),metyrapone (Generic),Brand-to-Generic,0.8489,5,50%
Mepron (Brand),Metopirone (Brand),Brand-to-Brand,0.8489,4,25%
Prolia (Brand),prilocaine hydrochloride (Generic),Brand-to-Generic,0.8489,6,75%
Liomny (Brand),Lincomycin (Brand),Brand-to-Brand,0.8489,6,50%
Liomny (Brand),Lincomycin (Brand),Brand-to-Brand,0.8489,6,50%
crovalimab (Generic),clesrovimab (Generic),Generic-to-Generic,0.8488,5,25%
prednisone (Generic),pirfenidone (Generic),Generic-to-Generic,0.8488,4,75%
ranitidine (Generic),rimantadine (Generic),Generic-to-Generic,0.8488,4,75%
ranitidine (Generic),rimantadine hydrochloride (Generic),Generic-to-Generic,0.8488,4,75%
ranitidine hydrochloride (Generic),rimantadine (Generic),Generic-to-Generic,0.8488,4,75%
ranitidine hydrochloride (Generic),rimantadine hydrochloride (Generic),Generic-to-Generic,0.8488,4,75%
asfotase alfa (Generic),follitropin alfa (Generic),Generic-to-Generic,0.8487,10,0%
selenium acid (Generic),deoxycholic acid (Generic),Generic-to-Generic,0.8487,10,0%
Pacerone (Brand),paroxetine (Generic),Brand-to-Generic,0.8486,5,25%
Pacerone (Brand),paroxetine hydrochloride (Generic),Brand-to-Generic,0.8486,5,25%
Benlysta (Brand),belinostat (Generic),Brand-to-Generic,0.8486,5,50%
Survanta (Brand),suvorexant (Generic),Brand-to-Generic,0.8486,5,25%
Prohance (Brand),prilocaine hydrochloride (Generic),Brand-to-Generic,0.8486,5,75%
losartan potassium (Generic),loratadine (Generic),Generic-to-Generic,0.8486,5,50%
sufentanil citrate (Generic),sertaconazole nitrate (Generic),Generic-to-Generic,0.8486,10,25%
Bridion (Brand),brimonidine tartrate (Generic),Brand-to-Generic,0.8485,6,75%
epoetin alfa (Generic),beractant alfa (Generic),Generic-to-Generic,0.8484,6,0%
epoetin alfa (Generic),velmanase alfa (Generic),Generic-to-Generic,0.8484,8,25%
talc (Generic),Taltz (Brand),Generic-to-Brand,0.8483,2,50%
zinc acetate (Generic),Zingo (Brand),Generic-to-Brand,0.8483,2,100%
Nexlizet (Brand),Nexviazyme (Brand),Brand-to-Brand,0.8483,5,75%
Questran (Brand),quetiapine (Generic),Brand-to-Generic,0.8483,5,25%
Questran (Brand),quetiapine fumarate (Generic),Brand-to-Generic,0.8483,5,25%
Premarin (Brand),pregabalin (Generic),Brand-to-Generic,0.8483,4,50%
cromolyn sodium (Generic),crotamiton (Generic),Generic-to-Generic,0.8483,5,50%
Precedex (Brand),Pred Forte (Brand),Brand-to-Brand,0.8483,7,50%
Cervidil (Brand),Cerubidine (Brand),Brand-to-Brand,0.8483,4,100%
Danziten (Brand),dantrolene sodium (Generic),Brand-to-Generic,0.8483,5,50%
Premarin (Brand),pregabalin (Generic),Brand-to-Generic,0.8483,4,50%
Methylin (Brand),metyrosine (Generic),Brand-to-Generic,0.8483,5,50%
Quelicin (Brand),quetiapine (Generic),Brand-to-Generic,0.8483,4,50%
Quelicin (Brand),quetiapine fumarate (Generic),Brand-to-Generic,0.8483,4,50%
Mepsevii (Brand),meperidine hydrochloride (Generic),Brand-to-Generic,0.8483,5,50%
clopidogrel (Generic),clonidine hydrochloride oral (Generic),Generic-to-Generic,0.8483,7,75%
cleocin hydrochloride (Generic),Cycloserine (Brand),Generic-to-Brand,0.8481,7,25%
cleocin phosphate (Generic),Cycloserine (Brand),Generic-to-Brand,0.8481,7,25%
Cleocin (Brand),Cycloserine (Brand),Brand-to-Brand,0.8481,7,25%
Rubraca (Brand),rasburicase (Generic),Brand-to-Generic,0.8481,6,25%
Nitrostat (Brand),nirogacestat (Generic),Brand-to-Generic,0.8481,5,50%
Pred Forte (Brand),prednisolone (Generic),Brand-to-Generic,0.848,6,75%
Pred Forte (Brand),prednisolone sodium phosphate (Generic),Brand-to-Generic,0.848,6,75%
Humira (Brand),Humatin (Brand),Brand-to-Brand,0.8478,4,50%
Pre-Pen (Brand),Prelone (Brand),Brand-to-Brand,0.8478,3,75%
Pre-Pen (Brand),Prelone (Brand),Brand-to-Brand,0.8478,3,75%
Pre-Pen (Brand),Prelone (Brand),Brand-to-Brand,0.8478,3,75%
Acthar (Brand),Actemra (Brand),Brand-to-Brand,0.8478,3,75%
methacholine chloride (Generic),methamphetamine hydrochloride (Generic),Generic-to-Generic,0.8478,6,50%
methylphenidate (Generic),methylnaltrexone bromide (Generic),Generic-to-Generic,0.8478,9,75%
methylphenidate hydrochloride (Generic),methylnaltrexone bromide (Generic),Generic-to-Generic,0.8478,9,75%
amifostine (Generic),amifampridine phosphate (Generic),Generic-to-Generic,0.8477,6,75%
Sulfamylon (Brand),sulfasalazine (Generic),Brand-to-Generic,0.8477,6,75%
zoledronic acid (Generic),aminolevulinic acid hydrochloride (Generic),Generic-to-Generic,0.8477,8,0%
Azasan (Brand),Azasite (Brand),Brand-to-Brand,0.8476,3,75%
Aptiom (Brand),Aptivus (Brand),Brand-to-Brand,0.8476,3,75%
Norvir (Brand),Norvasc (Brand),Brand-to-Brand,0.8476,3,75%
Norvir (Brand),Norvasc (Brand),Brand-to-Brand,0.8476,3,75%
Vijoice (Brand),Viokace (Brand),Brand-to-Brand,0.8476,3,100%
Reyataz (Brand),Repatha (Brand),Brand-to-Brand,0.8476,3,50%
cocaine hydrochloride (Generic),codeine hydrochloride nasal (Generic),Generic-to-Generic,0.8476,2,75%
cocaine hydrochloride (Generic),codeine phosphate (Generic),Generic-to-Generic,0.8476,2,75%
Revonto (Brand),Regonol (Brand),Brand-to-Brand,0.8476,3,50%
Soliris (Brand),sirolimus (Generic),Brand-to-Generic,0.8476,4,25%
Contepo (Brand),Coxanto (Brand),Brand-to-Brand,0.8476,4,25%
Gralise (Brand),Gris-Peg (Brand),Brand-to-Brand,0.8476,4,50%
Mavyret (Brand),Mayzent (Brand),Brand-to-Brand,0.8476,3,50%
Levemir (Brand),Leqembi (Brand),Brand-to-Brand,0.8476,3,50%
Tolsura (Brand),Tosymra (Brand),Brand-to-Brand,0.8476,3,50%
Lotemax (Brand),Lokelma (Brand),Brand-to-Brand,0.8476,3,25%
Atelvia (Brand),Activella (Brand),Brand-to-Brand,0.8476,5,50%
anastrozole (Generic),itraconazole (Generic),Generic-to-Generic,0.8475,7,0%
cariprazine (Generic),procarbazine hydrochloride (Generic),Generic-to-Generic,0.8475,6,50%
ranibizumab (Generic),benralizumab (Generic),Generic-to-Generic,0.8475,5,25%
belimumab (Generic),bimekizumab (Generic),Generic-to-Generic,0.8473,4,25%
ceritinib (Generic),cobimetinib (Generic),Generic-to-Generic,0.8473,4,25%
iopromide (Generic),iloperidone (Generic),Generic-to-Generic,0.8473,6,25%
Polocaine (Brand),pilocarpine hydrochloride (Generic),Brand-to-Generic,0.8473,3,75%
nivolumab (Generic),nemolizumab (Generic),Generic-to-Generic,0.8473,4,50%
primidone (Generic),pamidronate sodium (Generic),Generic-to-Generic,0.8473,5,25%
trientine hydrochloride (Generic),terbinafine (Generic),Generic-to-Generic,0.8473,5,50%
trientine hydrochloride (Generic),terbinafine hydrochloride (Generic),Generic-to-Generic,0.8473,5,50%
bempedoic acid (Generic),ethacrynic acid (Generic),Generic-to-Generic,0.8473,8,0%
Proscar (Brand),Prostascint (Brand),Brand-to-Brand,0.8472,6,75%
Pentasa (Brand),pentostatin (Generic),Brand-to-Generic,0.8472,5,100%
afatinib (Generic),fostamatinib (Generic),Generic-to-Generic,0.8472,5,50%
afatinib mesylate (Generic),fostamatinib (Generic),Generic-to-Generic,0.8472,5,50%
axitinib (Generic),pexidartinib hydrochloride (Generic),Generic-to-Generic,0.8472,5,50%
imatinib mesylate (Generic),mirdametinib (Generic),Generic-to-Generic,0.8472,5,50%
bromocriptine mesylate (Generic),brompheniramine maleate (Generic),Generic-to-Generic,0.8472,7,75%
Ziana (Brand),Zinplava (Brand),Brand-to-Brand,0.8467,4,50%
Fiasp (Brand),Firdapse (Brand),Brand-to-Brand,0.8467,4,25%
Fiasp (Brand),Filspari (Brand),Brand-to-Brand,0.8467,4,25%
mesna (Generic),Menostar (Brand),Generic-to-Brand,0.8467,4,25%
Betapace (Brand),belatacept (Generic),Brand-to-Generic,0.8467,4,50%
Nitromist (Brand),nitric oxide (Generic),Brand-to-Generic,0.8467,6,75%
retifanlimab (Generic),Retin-A Micro (Brand),Generic-to-Brand,0.8467,6,75%
amisulpride (Generic),amifampridine phosphate (Generic),Generic-to-Generic,0.8466,5,50%
desipramine hydrochloride (Generic),desloratadine (Generic),Generic-to-Generic,0.8466,5,75%
pegloticase (Generic),pegulicianine (Generic),Generic-to-Generic,0.8466,7,75%
Solu-Medrol (Brand),solriamfetol (Generic),Brand-to-Generic,0.8464,6,50%
amifostine (Generic),mifepristone (Generic),Generic-to-Generic,0.8463,6,25%
eculizumab (Generic),brolucizumab (Generic),Generic-to-Generic,0.8463,5,50%
idarubicin hydrochloride (Generic),daunorubicin hydrochloride (Generic),Generic-to-Generic,0.8463,4,50%
ixekizumab (Generic),lebrikizumab (Generic),Generic-to-Generic,0.8463,5,25%
olaratumab (Generic),satralizumab (Generic),Generic-to-Generic,0.8463,6,25%
teplizumab (Generic),atezolizumab (Generic),Generic-to-Generic,0.8463,3,0%
tobramycin (Generic),azithromycin dihydrate (Generic),Generic-to-Generic,0.8463,6,0%
tobramycin (Generic),azithromycin monohydrate (Generic),Generic-to-Generic,0.8463,6,0%
bexagliflozin (Generic),dapagliflozin (Generic),Generic-to-Generic,0.8462,3,50%
bexagliflozin (Generic),Canagliflozin (Brand),Generic-to-Brand,0.8462,3,50%
bexagliflozin (Generic),ertugliflozin (Generic),Generic-to-Generic,0.8462,4,0%
bexagliflozin (Generic),sotagliflozin (Generic),Generic-to-Generic,0.8462,3,50%
dapagliflozin (Generic),sotagliflozin (Generic),Generic-to-Generic,0.8462,3,50%
Canagliflozin (Brand),empagliflozin (Generic),Brand-to-Generic,0.8462,3,25%
Canagliflozin (Brand),sotagliflozin (Generic),Brand-to-Generic,0.8462,3,50%
empagliflozin (Generic),sotagliflozin (Generic),Generic-to-Generic,0.8462,3,0%
ertugliflozin (Generic),sotagliflozin (Generic),Generic-to-Generic,0.8462,3,0%
conjugated estrogen (Generic),estrogen conjugated (Generic),Generic-to-Generic,0.8462,16,0%
Cystografin Dilute (Brand),cysteamine bitartrate (Generic),Brand-to-Generic,0.8461,12,75%
darbepoetin alfa (Generic),taliglucerase alfa (Generic),Generic-to-Generic,0.8459,11,0%
fentanyl citrate (Generic),clomiphene citrate (Generic),Generic-to-Generic,0.8459,10,0%
Spiriva Respimat (Brand),Combivent Respimat (Brand),Brand-to-Brand,0.8459,7,25%
Norvasc (Brand),Norliqva (Brand),Brand-to-Brand,0.8458,5,75%
Nuvigil (Brand),Nuvaring (Brand),Brand-to-Brand,0.8458,4,50%
Gengraf (Brand),Generlac (Brand),Brand-to-Brand,0.8458,3,50%
Enskyce (Brand),Ensacove (Brand),Brand-to-Brand,0.8458,4,100%
Focalin (Brand),Focinvez (Brand),Brand-to-Brand,0.8458,5,50%
Brekiya (Brand),brevital sodium (Generic),Brand-to-Generic,0.8458,3,50%
Aricept (Brand),Arikayce (Brand),Brand-to-Brand,0.8458,5,75%
Symjepi (Brand),Symproic (Brand),Brand-to-Brand,0.8458,4,50%
Procrit (Brand),Promacta (Brand),Brand-to-Brand,0.8458,4,50%
Procrit (Brand),Propecia (Brand),Brand-to-Brand,0.8458,4,50%
Arixtra (Brand),Aristada (Brand),Brand-to-Brand,0.8458,3,100%
Gralise (Brand),Granisol (Brand),Brand-to-Brand,0.8458,3,75%
Zoladex (Brand),zolpidem tartrate (Generic),Brand-to-Generic,0.8458,3,50%
Corvert (Brand),Coreg Cr (Brand),Brand-to-Brand,0.8458,5,75%
Tresiba (Brand),Trelstar (Brand),Brand-to-Brand,0.8458,4,50%
Leqembi (Brand),Leqselvi (Brand),Brand-to-Brand,0.8458,3,75%
Kaletra (Brand),Kalbitor (Brand),Brand-to-Brand,0.8458,4,50%
Lotemax (Brand),Lotronex (Brand),Brand-to-Brand,0.8458,4,50%
Caplyta (Brand),Caprelsa (Brand),Brand-to-Brand,0.8458,4,50%
Vecamyl (Brand),Vectical (Brand),Brand-to-Brand,0.8458,4,50%
Bysanti (Brand),Bystolic (Brand),Brand-to-Brand,0.8458,4,50%
Balziva (Brand),Balversa (Brand),Brand-to-Brand,0.8458,4,50%
Kimyrsa (Brand),Kimmtrak (Brand),Brand-to-Brand,0.8458,4,50%
Veregen (Brand),Verzenio (Brand),Brand-to-Brand,0.8458,4,100%
Bridion (Brand),Brilinta (Brand),Brand-to-Brand,0.8458,4,75%
Briumvi (Brand),Briviact (Brand),Brand-to-Brand,0.8458,5,50%
desflurane (Generic),desipramine hydrochloride (Generic),Generic-to-Generic,0.8452,5,75%
lamivudine (Generic),lamotrigine (Generic),Generic-to-Generic,0.8452,5,50%
meperidine hydrochloride (Generic),mepivacaine hydrochloride (Generic),Generic-to-Generic,0.8452,5,50%
trametinib (Generic),trabectedin (Generic),Generic-to-Generic,0.8452,5,50%
Trintellix (Brand),triptorelin (Generic),Brand-to-Generic,0.8452,5,75%
beractant alfa (Generic),efgartigimod alfa (Generic),Generic-to-Generic,0.8452,10,25%
efbemalenograstim alfa (Generic),follitropin alfa and beta (Generic),Generic-to-Generic,0.8452,21,0%
ceritinib (Generic),Cerubidine (Brand),Generic-to-Brand,0.8448,5,50%
lumasiran (Generic),Lumi-Sporyn (Brand),Generic-to-Brand,0.8448,4,75%
metformin (Generic),Metopirone (Brand),Generic-to-Brand,0.8448,6,100%
metformin (Generic),metyrosine (Generic),Generic-to-Generic,0.8448,5,50%
metformin hydrochloride (Generic),Metopirone (Brand),Generic-to-Brand,0.8448,6,100%
metformin hydrochloride (Generic),metyrosine (Generic),Generic-to-Generic,0.8448,5,50%
Trileptal (Brand),Trintellix (Brand),Brand-to-Brand,0.8448,6,50%
Oxycontin (Brand),oxybutynin (Generic),Brand-to-Generic,0.8448,5,50%
