Drug A,Drug B,Comparison Type,Jaro-Winkler Sim,Levenshtein Dist,Soundex Match
insulin human (Generic),insulin glulisine (Generic),Generic-to-Generic,0.9486,7,100%
insulin aspart (Generic),insulin glargine (Generic),Generic-to-Generic,0.9471,7,100%
insulin aspart injection (Generic),insulin glargine (Generic),Generic-to-Generic,0.9471,7,100%
insulin icodec (Generic),insulin glargine (Generic),Generic-to-Generic,0.9471,8,100%
gemtuzumab ozogamicin (Generic),inotuzumab ozogamicin (Generic),Generic-to-Generic,0.9471,3,75%
insulin human (Generic),insulin aspart (Generic),Generic-to-Generic,0.9468,5,100%
insulin human (Generic),insulin aspart injection (Generic),Generic-to-Generic,0.9468,5,100%
insulin detemir (Generic),insulin glargine (Generic),Generic-to-Generic,0.9464,7,100%
econazole nitrate (Generic),sulconazole nitrate (Generic),Generic-to-Generic,0.9461,3,0%
Seroquel (Brand),Seroquel Xr (Brand),Brand-to-Brand,0.9455,3,100%
tiotropium bromide inhalation spray (Generic),tiotropium bromide and olodaterol (Generic),Generic-to-Generic,0.945,9,100%
Doptelet Sprinkle (Brand),Depakote Sprinkles (Brand),Brand-to-Brand,0.9445,7,50%
tretinoin and benzoyl pergolide (Generic),erythromycin and benzoyl pergolide (Generic),Generic-to-Generic,0.9445,7,50%
norgestimate and ethinyl estradiol (Generic),norethindrone and ethinyl estradiol (Generic),Generic-to-Generic,0.9445,8,50%
citalopram (Generic),escitalopram (Generic),Generic-to-Generic,0.9444,2,0%
betamethasone dipropionate (Generic),beclomethasone dipropionate (Generic),Generic-to-Generic,0.9444,3,25%
insulin icodec (Generic),insulin glulisine (Generic),Generic-to-Generic,0.9442,8,100%
omeprazole magnesium (Generic),"omeprazole, sodium bicarbonate (Generic)",Generic-to-Generic,0.9439,10,100%
fluorescein (Generic),Fluorescite (Brand),Generic-to-Brand,0.9436,3,100%
insulin human (Generic),insulin detemir (Generic),Generic-to-Generic,0.9434,6,100%
insulin degludec (Generic),insulin glulisine (Generic),Generic-to-Generic,0.9431,8,100%
Ovide (Brand),Ovidrel (Brand),Brand-to-Brand,0.9429,2,75%
amantadine hydrochloride (Generic),Amantadine Hcl (Brand),Generic-to-Brand,0.9429,4,100%
Amantadine (Brand),Amantadine Hcl (Brand),Brand-to-Brand,0.9429,4,100%
insulin degludec (Generic),insulin glargine (Generic),Generic-to-Generic,0.9427,8,100%
insulin aspart (Generic),insulin detemir (Generic),Generic-to-Generic,0.9425,7,100%
insulin aspart injection (Generic),insulin detemir (Generic),Generic-to-Generic,0.9425,7,100%
etonogestrel and ethinyl estradiol (Generic),norgestimate and ethinyl estradiol (Generic),Generic-to-Generic,0.9421,9,25%
alglucosidase alfa (Generic),cipaglucosidase alfa (Generic),Generic-to-Generic,0.9412,4,50%
valsartan and hydrochlorothiazide (Generic),irbesartan and hydrochlorothiazide (Generic),Generic-to-Generic,0.9411,4,0%
deoxycholic acid (Generic),mycophenolic acid (Generic),Generic-to-Generic,0.9408,7,25%
insulin human (Generic),insulin degludec (Generic),Generic-to-Generic,0.9404,7,100%
sotalol hydrochloride (Generic),sotalol hydrochloride af (Generic),Generic-to-Generic,0.94,3,100%
norgestrel and ethinyl estradiol (Generic),norethindrone and ethinyl estradiol (Generic),Generic-to-Generic,0.9398,9,50%
cetuximab and hyaluronidase (Generic),ocrelizumab and hyaluronidase (Generic),Generic-to-Generic,0.9397,6,0%
irbesartan and hydrochlorothiazide (Generic),telmisartan and hydrochlorothiazide (Generic),Generic-to-Generic,0.9391,5,25%
melphalan (Generic),melphalan hcl (Generic),Generic-to-Generic,0.9385,4,100%
Lopressor (Brand),Lopressor Hct (Brand),Brand-to-Brand,0.9385,4,100%
ketorolac promethazine (Generic),carboprost promethazine (Generic),Generic-to-Generic,0.9376,8,0%
Ketorolac Tromethamine (Brand),Carboprost Tromethamine (Brand),Brand-to-Brand,0.9376,8,0%
tisotumab vedotin (Generic),enfortumab vedotin (Generic),Generic-to-Generic,0.9373,4,0%
pramipexole dihydrochloride (Generic),sapropterin dihydrochloride (Generic),Generic-to-Generic,0.9373,10,25%
desogestrel and ethinyl estradiol (Generic),etonogestrel and ethinyl estradiol (Generic),Generic-to-Generic,0.9371,4,25%
polatuzumab vedotin (Generic),telisotuzumab vedotin (Generic),Generic-to-Generic,0.937,5,25%
Spiriva Respimat (Brand),Spiriva Handihaler (Brand),Brand-to-Brand,0.9366,8,100%
cipaglucosidase alfa (Generic),pegunigalsidase alfa (Generic),Generic-to-Generic,0.9365,9,0%
insulin lispro (Generic),insulin degludec (Generic),Generic-to-Generic,0.9364,8,100%
tenofovir disoproxil fumarate (Generic),tenofovir alafenamide (Generic),Generic-to-Generic,0.9354,10,100%
insulin human (Generic),insulin icodec (Generic),Generic-to-Generic,0.9349,6,100%
insulin human (Generic),insulin lispro (Generic),Generic-to-Generic,0.9349,6,100%
alglucosidase alfa (Generic),avalglucosidase alfa (Generic),Generic-to-Generic,0.9347,2,25%
omeprazole magnesium (Generic),esomeprazole magnesium (Generic),Generic-to-Generic,0.9345,2,0%
ferric carboxymaltose injection (Generic),sodium ferric gluconate complex (Generic),Generic-to-Generic,0.9343,14,75%
ferric derisomaltose (Generic),sodium ferric gluconate complex (Generic),Generic-to-Generic,0.934,14,75%
insulin aspart (Generic),insulin glulisine (Generic),Generic-to-Generic,0.9338,9,100%
insulin aspart injection (Generic),insulin glulisine (Generic),Generic-to-Generic,0.9338,9,100%
Creon (Brand),Crexont (Brand),Brand-to-Brand,0.9333,2,50%
Droxia (Brand),droxidopa (Generic),Brand-to-Generic,0.9333,3,75%
naloxone hydrochloride (Generic),naloxone hcl (Generic),Generic-to-Generic,0.9333,4,100%
Micardis (Brand),Micardis Hct (Brand),Brand-to-Brand,0.9333,4,100%
azelaic acid (Generic),tranexamic acid (Generic),Generic-to-Generic,0.9333,5,25%
lansoprazole (Generic),dexlansoprazole (Generic),Generic-to-Generic,0.9333,3,0%
penicillin g potassium (Generic),Penicillin-Vk (Brand),Generic-to-Brand,0.9333,2,100%
norgestrel and ethinyl estradiol (Generic),etonogestrel and ethinyl estradiol (Generic),Generic-to-Generic,0.9325,4,25%
insulin detemir (Generic),insulin glulisine (Generic),Generic-to-Generic,0.9324,8,100%
velmanase alfa (Generic),velaglucerase alfa (Generic),Generic-to-Generic,0.9322,7,50%
insulin aspart (Generic),insulin icodec (Generic),Generic-to-Generic,0.9314,6,100%
insulin aspart injection (Generic),insulin icodec (Generic),Generic-to-Generic,0.9314,6,100%
