ID,Generic Name,Brand Name,Therapeutic Class,Broad Category,Description,Indication
RAW_1212,sebetralstat,Ekterly,Plasma Kallikrein Inhibitor [EPC],Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Kalvista. Formulation: Tablet for Oral administration.,Used as a therapeutic agent for indications related to: Plasma Kallikrein Inhibitor [EPC].
RAW_1213,secnidazole,Solosec,Nitroimidazole Antimicrobial [EPC],Antimicrobials & Infectious Diseases,FDA Approved Prescription Drug. Manufactured by Evofem Inc. Formulation: Granule for Oral administration.,Used as a therapeutic agent for indications related to: Nitroimidazole Antimicrobial [EPC].
RAW_1214,secukinumab,Cosentyx,Interleukin-17A Antagonist [EPC],Oncology & Immunology,FDA Approved Prescription Drug. Manufactured by Novartis Pharms Corp. Formulation: Injectable for Injection administration.,Used as a therapeutic agent for indications related to: Interleukin-17A Antagonist [EPC].
RAW_1215,seladelpar lysine,Livdelzi,Unknown Class,Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Gilead Sciences Inc. Formulation: Capsule for Oral administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_1216,selegiline,Emsam,Monoamine Oxidase Inhibitor [EPC],Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Somerset. Formulation: System for Transdermal administration.,Used as a therapeutic agent for indications related to: Monoamine Oxidase Inhibitor [EPC].
RAW_1217,selegiline hydrochloride,Zelapar,Unknown Class,Miscellaneous / Other,"FDA Approved Prescription Drug. Manufactured by Bausch. Formulation: Tablet, Orally Disintegrating for Oral administration.",Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_1218,selenium acid,Selenious Acid,Unknown Class,Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Gland. Formulation: Solution for Intravenous administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_1219,selexipag,Uptravi,Prostacyclin Receptor Agonist [EPC],Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Actelion. Formulation: Tablet for Oral administration.,Used as a therapeutic agent for indications related to: Prostacyclin Receptor Agonist [EPC].
RAW_1220,selinexor,Xpovio,Nuclear Export Inhibitor [EPC],Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Karyopharm Theraps. Formulation: Tablet for Oral administration.,Used as a therapeutic agent for indications related to: Nuclear Export Inhibitor [EPC].
RAW_1221,selpercatinib,Retevmo,Kinase Inhibitor [EPC],Oncology & Immunology,FDA Approved Prescription Drug. Manufactured by Eli Lilly And Co. Formulation: Capsule for Oral administration.,Used as a therapeutic agent for indications related to: Kinase Inhibitor [EPC].
RAW_1222,selumetinib,Koselugo,Kinase Inhibitor [EPC],Oncology & Immunology,FDA Approved Prescription Drug. Manufactured by Astrazeneca. Formulation: Capsule for Oral administration.,Used as a therapeutic agent for indications related to: Kinase Inhibitor [EPC].
RAW_1223,semaglutide,"Ozempic, Rybelsus, Wegovy",GLP-1 Receptor Agonist [EPC],Endocrine & Metabolic,FDA Approved Prescription Drug. Manufactured by Novo. Formulation: Tablet for Oral administration.,Used as a therapeutic agent for indications related to: GLP-1 Receptor Agonist [EPC].
RAW_1224,sepiapterin,Sephience,Unknown Class,Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Ptc Therap. Formulation: Powder for Oral administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_1225,sertaconazole nitrate,Ertaczo,Unknown Class,Antimicrobials & Infectious Diseases,FDA Approved Prescription Drug. Manufactured by Lacer Pharma. Formulation: Cream for Topical administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_1226,sertraline hydrochloride,Zoloft,Unknown Class,Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Viatris. Formulation: Tablet for Oral administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_1227,setmelanotide,Imcivree,Melanocortin 4 Receptor Agonist [EPC],Endocrine & Metabolic,FDA Approved Prescription Drug. Manufactured by Rhythm. Formulation: Solution for Subcutaneous administration.,Used as a therapeutic agent for indications related to: Melanocortin 4 Receptor Agonist [EPC].
RAW_1228,sevabertinib,Hyrnuo,Unknown Class,Oncology & Immunology,FDA Approved Prescription Drug. Manufactured by Bayer Healthcare. Formulation: Tablet for Oral administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_1229,sevelamer hydrochloride,Renagel,Unknown Class,Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Genzyme. Formulation: Tablet for Oral administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_1230,sevoflurane,Ultane,General Anesthetic [EPC],Central Nervous System,FDA Approved Prescription Drug. Manufactured by Abbvie. Formulation: Liquid for Inhalation administration.,Used as a therapeutic agent for indications related to: General Anesthetic [EPC].
RAW_1231,sibeprenlimab,Voyxact,Unknown Class,Oncology & Immunology,FDA Approved Prescription Drug. Manufactured by Otsuka Pharm Co Ltd. Formulation: Injectable for Injection administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_1232,sildenafil,Viagra,Phosphodiesterase 5 Inhibitor [EPC],Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Teva. Formulation: Tablet for Oral administration.,Used as a therapeutic agent for indications related to: Phosphodiesterase 5 Inhibitor [EPC].
RAW_1233,sildenafil citrate,"Revatio, Vybrique",Unknown Class,Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Ibsa. Formulation: Film for Oral administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_1234,siltuximab,Sylvant,Interleukin-6 Antagonist [EPC],Oncology & Immunology,"FDA Approved Prescription Drug. Manufactured by Recordati Rare Diseases, Inc.. Formulation: Injectable for Injection administration.",Used as a therapeutic agent for indications related to: Interleukin-6 Antagonist [EPC].
