ID,Generic Name,Brand Name,Therapeutic Class,Broad Category,Description,Indication
RAW_0001,abacavir sulfate,Ziagen,Unknown Class,Antimicrobials & Infectious Diseases,FDA Approved Prescription Drug. Manufactured by Viiv Hlthcare. Formulation: Solution for Oral administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0002,abaloparatide,Tymlos,Parathyroid Hormone-Related Peptide Analog [EPC],Endocrine & Metabolic,FDA Approved Prescription Drug. Manufactured by Radius. Formulation: Solution for Subcutaneous administration.,Used as a therapeutic agent for indications related to: Parathyroid Hormone-Related Peptide Analog [EPC].
RAW_0003,abatacept,Orencia,Selective T Cell Costimulation Modulator [EPC],Oncology & Immunology,FDA Approved Prescription Drug. Manufactured by Bristol Myers Squibb. Formulation: Injectable for Iv (Infusion) administration.,Used as a therapeutic agent for indications related to: Selective T Cell Costimulation Modulator [EPC].
RAW_0004,abciximab,Reopro,Unknown Class,Oncology & Immunology,FDA Approved Prescription Drug. Manufactured by Centocor Inc. Formulation: Injectable for Injection administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0005,abemaciclib,Verzenio,Kinase Inhibitor [EPC],Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Eli Lilly And Co. Formulation: Tablet for Oral administration.,Used as a therapeutic agent for indications related to: Kinase Inhibitor [EPC].
RAW_0006,abiraterone acetate,"Yonsa, Zytiga",Unknown Class,Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Janssen Biotech. Formulation: Tablet for Oral administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0007,abrocitinib,Cibinqo,Janus Kinase Inhibitor [EPC],Oncology & Immunology,FDA Approved Prescription Drug. Manufactured by Pfizer. Formulation: Tablet for Oral administration.,Used as a therapeutic agent for indications related to: Janus Kinase Inhibitor [EPC].
RAW_0008,acalabrutinib,Calquence,Kinase Inhibitor [EPC],Oncology & Immunology,FDA Approved Prescription Drug. Manufactured by Astrazeneca. Formulation: Capsule for Oral administration.,Used as a therapeutic agent for indications related to: Kinase Inhibitor [EPC].
RAW_0009,aceclidine,Vizz,Unknown Class,Respiratory & Allergy,FDA Approved Prescription Drug. Manufactured by Lenz Therap. Formulation: Solution/Drops for Ophthalmic administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0010,acetaminophen and ibuprofen,Combogesic,Nonsteroidal Anti-inflammatory Drug [EPC],Endocrine & Metabolic,FDA Approved Prescription Drug. Manufactured by Aft Pharms Us. Formulation: Tablet for Oral administration.,Used as a therapeutic agent for indications related to: Nonsteroidal Anti-inflammatory Drug [EPC].
RAW_0011,acetohydroxamic acid,Lithostat,Urease Inhibitor [EPC],Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Mission Pharma. Formulation: Tablet for Oral administration.,Used as a therapeutic agent for indications related to: Urease Inhibitor [EPC].
RAW_0012,acetylcholine chloride,Miochol E,Unknown Class,Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Bausch And Lomb. Formulation: For Solution for Ophthalmic administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0013,acetylcysteine,Acetadote,Antidote [EPC],Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Cumberland Pharms. Formulation: Injectable for Intravenous administration.,Used as a therapeutic agent for indications related to: Antidote [EPC].
RAW_0014,acoltremon,Tryptyr,TRPM8 Thermoreceptor Agonist [EPC],Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Alcon Labs Inc. Formulation: Solution/Drops for Ophthalmic administration.,Used as a therapeutic agent for indications related to: TRPM8 Thermoreceptor Agonist [EPC].
RAW_0015,acoramidis hydrochloride,Attruby,Unknown Class,Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Bridgebio Pharma. Formulation: Tablet for Oral administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0016,acyclovir and hydrocortisone,Xerese,Herpes Simplex Virus Nucleoside Analog DNA Polymerase Inhibitor [EPC],Antimicrobials & Infectious Diseases,FDA Approved Prescription Drug. Manufactured by Bausch. Formulation: Cream for Topical administration.,Used as a therapeutic agent for indications related to: Herpes Simplex Virus Nucleoside Analog DNA Polymerase Inhibitor [EPC].
RAW_0017,adagrasib,Krazati,Unknown Class,Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Bristol. Formulation: Tablet for Oral administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0018,adalimumab,"Abrilada, Amjevita, Hulio, Humira, Idacio, Yusimry",Tumor Necrosis Factor Blocker [EPC],Oncology & Immunology,FDA Approved Prescription Drug. Manufactured by Pfizer Inc. Formulation: Injectable for Injection administration.,Used as a therapeutic agent for indications related to: Tumor Necrosis Factor Blocker [EPC].
RAW_0019,adapalene,Epiduo,Unknown Class,Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Galderma Labs Lp. Formulation: Gel for Topical administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0020,adapalene and benzoyl pergolide,"Differin Epiduo, Epiduo Forte, Generic Product",Retinoid [EPC],Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Sun Pharma Canada. Formulation: Gel for Topical administration.,Used as a therapeutic agent for indications related to: Retinoid [EPC].
RAW_0021,ado-trastuzumab emtansine,Kadcyla,Unknown Class,Oncology & Immunology,FDA Approved Prescription Drug. Manufactured by Genentech. Formulation: Vial for Single-Use administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0022,aducanumab,Aduhelm,Unknown Class,Oncology & Immunology,FDA Approved Prescription Drug. Manufactured by Biogen Inc. Formulation: Injectable for Injection administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0023,afamelanotide,Scenesse,Unknown Class,Endocrine & Metabolic,FDA Approved Prescription Drug. Manufactured by Clivunel Inc. Formulation: Implant for Subcutaneous administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0024,afatinib,Gilotrif,Kinase Inhibitor [EPC],Oncology & Immunology,FDA Approved Prescription Drug. Manufactured by Boehringer Ingelheim. Formulation: Tablet for Oral administration.,Used as a therapeutic agent for indications related to: Kinase Inhibitor [EPC].
RAW_0025,afatinib mesylate,Gleevec,Unknown Class,Oncology & Immunology,FDA Approved Prescription Drug. Manufactured by Novartis. Formulation: Tablet for Oral administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0026,afatinib oral,Imkeldi,Unknown Class,Oncology & Immunology,FDA Approved Prescription Drug. Manufactured by Shorla Oncology. Formulation: Solution for Oral administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0027,aficamten,Myqorzo,Unknown Class,Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Cytokinetics. Formulation: Tablet for Oral administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0028,aflibercept,"Ahzantive, Enzeevu, Eydenzelt, Eylea, Eylea Hd, Opuviz, Pavblu, Yesafili",Vascular Endothelial Growth Factor Inhibitor [EPC],Oncology & Immunology,FDA Approved Prescription Drug. Manufactured by Amgen Inc. Formulation: Injectable for Injection administration.,Used as a therapeutic agent for indications related to: Vascular Endothelial Growth Factor Inhibitor [EPC].
RAW_0029,agalsidase beta,Fabrazyme,Hydrolytic Lysosomal Neutral Glycosphingolipid-specific Enzyme [EPC],Cardiovascular System,FDA Approved Prescription Drug. Manufactured by Genzyme. Formulation: Vial for Intravenous administration.,Used as a therapeutic agent for indications related to: Hydrolytic Lysosomal Neutral Glycosphingolipid-specific Enzyme [EPC].
RAW_0030,albuterol sulfate,Ventolin Hfa,Unknown Class,Respiratory & Allergy,"FDA Approved Prescription Drug. Manufactured by Glaxosmithkline. Formulation: Aerosol, Metered for Inhalation administration.",Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0031,aldesleukin,Proleukin,Lymphocyte Growth Factor [EPC],Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Chiron. Formulation: Vial for Oral administration.,Used as a therapeutic agent for indications related to: Lymphocyte Growth Factor [EPC].
RAW_0032,alectinib hydrochloride,Alecensa,Unknown Class,Oncology & Immunology,FDA Approved Prescription Drug. Manufactured by Hoffmann-La Roche. Formulation: Capsule for Oral administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0033,alendronate sodium,"Binosto, Fosamax",Unknown Class,Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Organon. Formulation: Tablet for Oral administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0034,alfuzosin hcl,Uroxatral,Unknown Class,Cardiovascular System,"FDA Approved Prescription Drug. Manufactured by Advanz Pharma. Formulation: Tablet, Extended Release for Oral administration.",Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0035,alglucosidase alfa,"Lumizyme, Myozyme",Hydrolytic Lysosomal Glycogen-specific Enzyme [EPC],Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Genzyme. Formulation: Injectable for Iv (Infusion) administration.,Used as a therapeutic agent for indications related to: Hydrolytic Lysosomal Glycogen-specific Enzyme [EPC].
RAW_0036,alirocumab,Praluent,PCSK9 Inhibitor [EPC],Oncology & Immunology,FDA Approved Prescription Drug. Manufactured by Regeneron Pharmaceuticals. Formulation: Injectable for Injection administration.,Used as a therapeutic agent for indications related to: PCSK9 Inhibitor [EPC].
RAW_0037,alitretinoin,Panretin,Retinoid [EPC],Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Advanz Pharma. Formulation: Gel for Topical administration.,Used as a therapeutic agent for indications related to: Retinoid [EPC].
RAW_0038,allopurinol,Aloprim,Unknown Class,Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Mylan. Formulation: Injectable for Injection administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0039,alosetron hydrochloride,Lotronex,Unknown Class,Gastrointestinal System,FDA Approved Prescription Drug. Manufactured by Legacy Pharma. Formulation: Tablet for Oral administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0040,alpelisib,"Piqray, Vijoice",Unknown Class,Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Novartis. Formulation: Tablet for Oral administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0041,alprazolam,Xanax Xr,Benzodiazepine [EPC],Central Nervous System,"FDA Approved Prescription Drug. Manufactured by Upjohn. Formulation: Tablet, Extended Release for Oral administration.",Used as a therapeutic agent for indications related to: Benzodiazepine [EPC].
RAW_0042,alprostadil,"Caverject, Caverject Impulse, Edex, Prostin Vr Pediatric",Prostaglandin Analog [EPC],Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Pfizer. Formulation: Injectable for Injection administration.,Used as a therapeutic agent for indications related to: Prostaglandin Analog [EPC].
RAW_0043,alteplase,Cathflo Activase,Unknown Class,Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Genentech. Formulation: Vial for Single-Use administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0044,amantadine hydrochloride,Generic Product,Unknown Class,Respiratory & Allergy,FDA Approved Prescription Drug. Manufactured by Watson Labs Inc. Formulation: Tablet for Oral administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0045,amifampridine phosphate,Firdapse,Unknown Class,Respiratory & Allergy,FDA Approved Prescription Drug. Manufactured by Catalyst Pharms. Formulation: Tablet for Oral administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0046,amifostine,Ethyol,Unknown Class,Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Legacy Pharma. Formulation: Injectable for Injection administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0047,amikacin,Arikayce,Aminoglycoside Antibacterial [EPC],Antimicrobials & Infectious Diseases,"FDA Approved Prescription Drug. Manufactured by Insmed Inc. Formulation: Suspension, Liposomal for Inhalation administration.",Used as a therapeutic agent for indications related to: Aminoglycoside Antibacterial [EPC].
RAW_0048,aminolevulinic acid hydrochloride,"Ameluz, Gleolan, Levulan Kerastick",Unknown Class,Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Nxdc. Formulation: For Solution for Oral administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0049,aminosalicylic acid,Paser,Unknown Class,Miscellaneous / Other,"FDA Approved Prescription Drug. Manufactured by Adaptis. Formulation: Granule, Delayed Release for Oral administration.",Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0050,amiodarone hydrochloride,"Cordarone, Nexterone, Pacerone",Unknown Class,Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Mylan Institutional. Formulation: Injectable for Injection administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0051,amisulpride,Barhemsys,Dopamine-2 Receptor Antagonist [EPC],Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Acacia. Formulation: Solution for Intravenous administration.,Used as a therapeutic agent for indications related to: Dopamine-2 Receptor Antagonist [EPC].
RAW_0052,amivantamab,Rybrevant,Unknown Class,Oncology & Immunology,FDA Approved Prescription Drug. Manufactured by Janssen Biotech. Formulation: Injectable for Injection administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0053,amivantamab and hyaluronidase,Rybrevant Faspro,Unknown Class,Oncology & Immunology,FDA Approved Prescription Drug. Manufactured by Janssen Biotech. Formulation: Vial for Single-Use administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0054,amlodipine,"Katerzia, Norliqva, Norvasc, Sdamlo",Dihydropyridine Calcium Channel Blocker [EPC],Cardiovascular System,FDA Approved Prescription Drug. Manufactured by Azurity. Formulation: Suspension for Oral administration.,Used as a therapeutic agent for indications related to: Dihydropyridine Calcium Channel Blocker [EPC].
RAW_0055,amlodipine besylate,"Generic Product, Norvasc",Unknown Class,Cardiovascular System,FDA Approved Prescription Drug. Manufactured by Zydus Pharms. Formulation: Tablet for Oral administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0056,amlodipine besylate and valsartan,Exforge,Angiotensin 2 Receptor Blocker [EPC],Cardiovascular System,FDA Approved Prescription Drug. Manufactured by Novartis. Formulation: Tablet for Oral administration.,Used as a therapeutic agent for indications related to: Angiotensin 2 Receptor Blocker [EPC].
RAW_0057,amoxicillin,Larotid,Unknown Class,Antimicrobials & Infectious Diseases,FDA Approved Prescription Drug. Manufactured by Us Antibiotics. Formulation: For Suspension for Oral administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0058,amphetamine,Dyanavel Xr,Central Nervous System Stimulant [EPC],Central Nervous System,"FDA Approved Prescription Drug. Manufactured by Tris Pharma Inc. Formulation: Suspension, Extended Release for Oral administration.",Used as a therapeutic agent for indications related to: Central Nervous System Stimulant [EPC].
RAW_0059,amphetamine sulfate,Evekeo,Unknown Class,Central Nervous System,FDA Approved Prescription Drug. Manufactured by Azurity. Formulation: Tablet for Oral administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0060,amphotericin b,Ambisome,Lipid-based Polyene Antifungal [EPC],Cardiovascular System,"FDA Approved Prescription Drug. Manufactured by Astellas. Formulation: Injectable, Liposomal for Injection administration.",Used as a therapeutic agent for indications related to: Lipid-based Polyene Antifungal [EPC].
RAW_0061,anacaulase,Nexobrid,Unknown Class,Miscellaneous / Other,"FDA Approved Prescription Drug. Manufactured by Mediwound, Ltd. Formulation: Gel for Topical administration.",Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0062,anagrelide hydrochloride,Agrylin,Unknown Class,Cardiovascular System,FDA Approved Prescription Drug. Manufactured by Takeda Pharms Usa. Formulation: Capsule for Oral administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0063,anakinra,Kineret,Interleukin-1 Receptor Antagonist [EPC],Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Biovitrum Ab. Formulation: Vial for Subcutaneous administration.,Used as a therapeutic agent for indications related to: Interleukin-1 Receptor Antagonist [EPC].
RAW_0064,anastrozole,Arimidex,Aromatase Inhibitor [EPC],Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Astrazeneca. Formulation: Tablet for Oral administration.,Used as a therapeutic agent for indications related to: Aromatase Inhibitor [EPC].
RAW_0065,angiotensin ii,Giapreza,Vasoconstrictor [EPC],Cardiovascular System,FDA Approved Prescription Drug. Manufactured by La Jolla Pharma. Formulation: Solution for Intravenous administration.,Used as a therapeutic agent for indications related to: Vasoconstrictor [EPC].
RAW_0066,anidulafungin,Eraxis,Echinocandin Antifungal [EPC],Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Pfizer. Formulation: Injectable for Injection administration.,Used as a therapeutic agent for indications related to: Echinocandin Antifungal [EPC].
RAW_0067,anifrolumab,Saphnelo,Type I Interferon Receptor Antagonist [EPC],Gastrointestinal System,FDA Approved Prescription Drug. Manufactured by Astrazeneca Ab. Formulation: Injectable for Injection administration.,Used as a therapeutic agent for indications related to: Type I Interferon Receptor Antagonist [EPC].
RAW_0068,ansuvimab,Ebanga,Zaire Ebolavirus Glycoprotein-directed Antibody [EPC],Oncology & Immunology,FDA Approved Prescription Drug. Manufactured by Ridgeback Biotherapeutics. Formulation: Powder for Iv (Infusion) administration.,Used as a therapeutic agent for indications related to: Zaire Ebolavirus Glycoprotein-directed Antibody [EPC].
RAW_0069,apalsutamide,"Apalutamide, Erleada",Unknown Class,Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Janssen Biotech. Formulation: Tablet for Oral administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0070,apixaban,Eliquis,Unknown Class,Miscellaneous / Other,"FDA Approved Prescription Drug. Manufactured by Bristol Myers Squibb. Formulation: Tablet, For Suspension for Oral administration.",Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0071,apomorphine hydrochloride,"Apokyn, Onapgo",Unknown Class,Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Mdd Us. Formulation: Injectable for Subcutaneous administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0072,apremilast,Otezla,Phosphodiesterase 4 Inhibitor [EPC],Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Celgene Corp. Formulation: Tablet for Oral administration.,Used as a therapeutic agent for indications related to: Phosphodiesterase 4 Inhibitor [EPC].
RAW_0073,aprepitant,"Aponvie, Cinvanti, Emend",Substance P/Neurokinin-1 Receptor Antagonist [EPC],Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Msd Merck Co. Formulation: For Suspension for Oral administration.,Used as a therapeutic agent for indications related to: Substance P/Neurokinin-1 Receptor Antagonist [EPC].
RAW_0074,aprocitentan,Tryvio,Endothelin Receptor Antagonist [EPC],Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Idorsia. Formulation: Tablet for Oral administration.,Used as a therapeutic agent for indications related to: Endothelin Receptor Antagonist [EPC].
RAW_0075,arginine hydrochloride,R-Gene,Unknown Class,Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Pharmacia And Upjohn. Formulation: Injectable for Injection administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0076,arimoclomol citrate,Miplyffa,Unknown Class,Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Zevra Denmark. Formulation: Capsule for Oral administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0077,aripiprazole,"Abilify, Abilify Asimtufii, Abilify Maintena, Opipza",Atypical Antipsychotic [EPC],Gastrointestinal System,FDA Approved Prescription Drug. Manufactured by Xiamen Lp Pharm Co. Formulation: Film for Oral administration.,Used as a therapeutic agent for indications related to: Atypical Antipsychotic [EPC].
RAW_0078,aripiprazole lauroxil,"Aristada, Aristada Initio",Unknown Class,Gastrointestinal System,"FDA Approved Prescription Drug. Manufactured by Alkermes Inc. Formulation: Suspension, Extended Release for Intramuscular administration.",Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0079,armodafinil,Nuvigil,Unknown Class,Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Nuvo Pharms. Formulation: Tablet for Oral administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0080,arsenic trioxide,Trisenox,Unknown Class,Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Cephalon. Formulation: Injectable for Injection administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0081,artemether and lumefantrine,Coartem,Antimalarial [EPC],Endocrine & Metabolic,FDA Approved Prescription Drug. Manufactured by Novartis. Formulation: Tablet for Oral administration.,Used as a therapeutic agent for indications related to: Antimalarial [EPC].
RAW_0082,articaine hydrochloride,Septocaine,Unknown Class,Central Nervous System,FDA Approved Prescription Drug. Manufactured by Deproco. Formulation: Injectable for Injection administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0083,asciminib,Scemblix,Unknown Class,Oncology & Immunology,FDA Approved Prescription Drug. Manufactured by Novartis. Formulation: Tablet for Oral administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0084,asenapine,Secuado,Atypical Antipsychotic [EPC],Central Nervous System,FDA Approved Prescription Drug. Manufactured by Hisamitsu. Formulation: System for Transdermal administration.,Used as a therapeutic agent for indications related to: Atypical Antipsychotic [EPC].
RAW_0085,asenapine maleate,Saphris,Unknown Class,Central Nervous System,FDA Approved Prescription Drug. Manufactured by Abbvie. Formulation: Tablet for Sublingual administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0086,asfotase alfa,Strensiq,Tissue-nonspecific Alkaline Phosphatase [EPC],Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Alexion Pharm. Formulation: Solution for Injection administration.,Used as a therapeutic agent for indications related to: Tissue-nonspecific Alkaline Phosphatase [EPC].
RAW_0087,asparaginase,Elspar,Unknown Class,Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Merck. Formulation: Vial for Oral administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0088,atazanavir,Reyataz,Unknown Class,Antimicrobials & Infectious Diseases,FDA Approved Prescription Drug. Manufactured by Bristol Myers Squibb. Formulation: Powder for Oral administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0089,atazanavir and cobicistat,Evotaz,Cytochrome P450 3A Inhibitor [EPC],Antimicrobials & Infectious Diseases,FDA Approved Prescription Drug. Manufactured by Bristol. Formulation: Tablet for Oral administration.,Used as a therapeutic agent for indications related to: Cytochrome P450 3A Inhibitor [EPC].
RAW_0090,atenolol,Tenormin,beta-Adrenergic Blocker [EPC],Cardiovascular System,FDA Approved Prescription Drug. Manufactured by Twi Pharms. Formulation: Tablet for Oral administration.,Used as a therapeutic agent for indications related to: beta-Adrenergic Blocker [EPC].
RAW_0091,atezolizumab,Tecentriq,Programmed Death Receptor-1 Blocking Antibody [EPC],Oncology & Immunology,FDA Approved Prescription Drug. Manufactured by Genentech Inc. Formulation: Injectable for Injection administration.,Used as a therapeutic agent for indications related to: Programmed Death Receptor-1 Blocking Antibody [EPC].
RAW_0092,atezolizumab and hyaluronidase,Tecentriq Hybreza,Programmed Death Receptor-1 Blocking Antibody [EPC],Oncology & Immunology,FDA Approved Prescription Drug. Manufactured by Genentech Inc. Formulation: Injectable for Injection administration.,Used as a therapeutic agent for indications related to: Programmed Death Receptor-1 Blocking Antibody [EPC].
RAW_0093,atogepant,Qulipta,Calcitonin Gene-related Peptide Receptor Antagonist [EPC],Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Abbvie. Formulation: Tablet for Oral administration.,Used as a therapeutic agent for indications related to: Calcitonin Gene-related Peptide Receptor Antagonist [EPC].
RAW_0094,atorvastatin calcium,"Lipitor, Lypqozet",Unknown Class,Cardiovascular System,FDA Approved Prescription Drug. Manufactured by Pharmobedient. Formulation: Tablet for Oral administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0095,atovaquone,Mepron,Antimalarial [EPC],Antimicrobials & Infectious Diseases,FDA Approved Prescription Drug. Manufactured by Glaxosmithkline Llc. Formulation: Suspension for Oral administration.,Used as a therapeutic agent for indications related to: Antimalarial [EPC].
RAW_0096,atrasentan,Vanrafia,Unknown Class,Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Novartis. Formulation: Tablet for Oral administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0097,atropine and pralidoxime chloride,Duodote,Unknown Class,Central Nervous System,FDA Approved Prescription Drug. Manufactured by Mmt. Formulation: Injectable for Intramuscular administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0098,auranofin,Ridaura,Unknown Class,Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Legacy Pharma. Formulation: Capsule for Oral administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0099,avacincaptad pegol,Izervay,Unknown Class,Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Astellas. Formulation: Solution for Intravitreal administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0100,avacopan,Tavneos,Complement 5a Receptor Antagonist [EPC],Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Chemocentryx. Formulation: Capsule for Oral administration.,Used as a therapeutic agent for indications related to: Complement 5a Receptor Antagonist [EPC].
RAW_0101,avalglucosidase alfa,Nexviazyme,Hydrolytic Lysosomal Glycogen-specific Enzyme [EPC],Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Genzyme Corp. Formulation: Injectable for Injection administration.,Used as a therapeutic agent for indications related to: Hydrolytic Lysosomal Glycogen-specific Enzyme [EPC].
RAW_0102,avanafil,Stendra,Unknown Class,Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Vivus Llc. Formulation: Tablet for Oral administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0103,avapritinib,Ayvakit,Kinase Inhibitor [EPC],Oncology & Immunology,FDA Approved Prescription Drug. Manufactured by Blueprint Medicines. Formulation: Tablet for Oral administration.,Used as a therapeutic agent for indications related to: Kinase Inhibitor [EPC].
RAW_0104,avatrombopag,Doptelet Sprinkle,Unknown Class,Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Akarx Inc. Formulation: Granule for Oral administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0105,avatrombopag maleate,Doptelet,Unknown Class,Miscellaneous / Other,FDA Approved Prescription Drug. Manufactured by Akarx Inc. Formulation: Tablet for Oral administration.,Therapeutic classification and specific indication data are not natively provided in this dataset.
RAW_0106,avelumab,Bavencio,Programmed Death Ligand-1 Blocker [EPC],Gastrointestinal System,FDA Approved Prescription Drug. Manufactured by Emd Serono Inc. Formulation: Injectable for Injection administration.,Used as a therapeutic agent for indications related to: Programmed Death Ligand-1 Blocker [EPC].
RAW_0107,axatilimab,Niktimvo,Colony Stimulating Factor-1 Receptor Blocker [EPC],Oncology & Immunology,FDA Approved Prescription Drug. Manufactured by Incyte Corp. Formulation: Injectable for Intravenous administration.,Used as a therapeutic agent for indications related to: Colony Stimulating Factor-1 Receptor Blocker [EPC].
RAW_0108,axitinib,Inlyta,Kinase Inhibitor [EPC],Oncology & Immunology,FDA Approved Prescription Drug. Manufactured by Pf Prism Cv. Formulation: Tablet for Oral administration.,Used as a therapeutic agent for indications related to: Kinase Inhibitor [EPC].
RAW_0109,azacitidine,"Onureg, Vidaza",Nucleoside Metabolic Inhibitor [EPC],Respiratory & Allergy,"FDA Approved Prescription Drug. Manufactured by Bristol-Myers. Formulation: Powder for Intravenous, Subcutaneous administration.",Used as a therapeutic agent for indications related to: Nucleoside Metabolic Inhibitor [EPC].
