name_id,name_type,display_name,normalized_name,formulation_ids
BRAND:BRAND_c26c3195202aa4e9a3f1,brand,Abhayrab,abhayrab,FORM_326d4e6af07991471eb6
BRAND:BRAND_46addb775bcd7e783124,brand,Abicof SG,abicof sg,FORM_a02c163328778ea21305
BRAND:BRAND_71500982dc1ec9bb8ee8,brand,Abilify,abilify,FORM_3c6a160033d0b7432efb
BRAND:BRAND_ff84c9958d086e8fb21f,brand,Abilify Discmelt,abilify discmelt,FORM_3c6a160033d0b7432efb
BRAND:BRAND_9ad3ce8e4ae7342c6e5d,brand,Abilify Maintena,abilify maintena,FORM_3c6a160033d0b7432efb
BRAND:BRAND_a26e5aefb0fa0e3e6640,brand,Abingem,abingem,FORM_66ac578516b5b04c7c9d
BRAND:BRAND_2e86c18edc7f3009956c,brand,Abira Get,abira get,FORM_be32af7aa26f4cdbe988
BRAND:BRAND_13dfe4997ec6c1155db8,brand,Abiracare,abiracare,FORM_6f8c767b5d7c552610df
BRAND:BRAND_905be8d5c1ea8e8b59f5,brand,Abiranat,abiranat,FORM_6f8c767b5d7c552610df
BRAND:BRAND_24fa1621c923ef93485b,brand,Abirasun,abirasun,FORM_be32af7aa26f4cdbe988
BRAND:BRAND_7c088a335552eda116f4,brand,Abiratred,abiratred,FORM_be32af7aa26f4cdbe988
BRAND:BRAND_ead65489802d5a85be58,brand,Abiravitae,abiravitae,FORM_be32af7aa26f4cdbe988
BRAND:BRAND_bbf2bad2c95dadace148,brand,Abiron,abiron,FORM_be32af7aa26f4cdbe988
BRAND:BRAND_051e1847334cb9db932a,brand,Abirone,abirone,FORM_be32af7aa26f4cdbe988
BRAND:BRAND_29ef58f231db8a128d75,brand,Abirostar,abirostar,FORM_6f8c767b5d7c552610df
BRAND:BRAND_7cfe85ab3a43c9ac07dd,brand,Abisin,abisin,FORM_c94ba347b975294f716e
BRAND:BRAND_eaa96a0fee0f0aefa76f,brand,Abitrone,abitrone,FORM_be32af7aa26f4cdbe988
BRAND:BRAND_ec358b4446378a58f655,brand,Abixa,abixa,FORM_b3750f11791fa3f0ed1b
BRAND:BRAND_a23d3c4b0f0d731efdea,brand,Abizol Easytab,abizol easytab,FORM_3c6a160033d0b7432efb
BRAND:BRAND_0594b44b77abfa8d6850,brand,Abluent,abluent,FORM_c183bab712f9f3c863b6
BRAND:BRAND_dc0d968f2b49d1152e39,brand,Abo 10,abo 10,FORM_d40102c36b1f44f7acd9
BRAND:BRAND_76788bd55e53bda58331,brand,Abo 5,abo 5,FORM_d40102c36b1f44f7acd9
BRAND:BRAND_a1a14fa35c7091945c75,brand,Abradex,abradex,FORM_9e5208d069aa35ff4949
BRAND:BRAND_293980734bdeba20bf87,brand,Abrexin,abrexin,FORM_619401feacecb02ba2ba|FORM_7da6def4e54c7664deb4|FORM_9c488e6210c823fdb599
BRAND:BRAND_3814a7738700dc2e53f5,brand,Abrin,abrin,FORM_16571250c39492fa69d5
BRAND:BRAND_67066237c1a2f29f6a94,brand,Abrysvo,abrysvo,FORM_3dc239cf1d0dbfd7f8c9
BRAND:BRAND_bf2720fc78e8a4abd79b,brand,Abstral,abstral,FORM_edf9ff6ffd2bd9f3048b
