formulation_id,generic_name_display,generic_name_normalized,ingredient_count,component_split_method
FORM_d1e912f951baa44dbf8b,Ketoanalogues + Essential Phospholipids,ketoanalogues + essential phospholipids,2,explicit_plus
FORM_e5ce3c44098bf160d7bb,Benzylpenicillin,benzylpenicillin,1,single
FORM_ac8bc067b0b52bba79af,Ofloxacin + Dexamethasone,ofloxacin + dexamethasone,2,explicit_plus
FORM_8161374fc60173633dcb,Lidocaine (As Hydrochloride) / Epinephrine (As Bitartrate),lidocaine (as hydrochloride) / epinephrine (as bitartrate),2,explicit_slash
FORM_b3deea16aef4247630fa,Losartanpotassium + Hydrochlorothiazide,losartanpotassium + hydrochlorothiazide,2,explicit_plus
FORM_addf5d8017c29c0b6dae,Multivitamins + Minerals + Lecithin + Korean Ginseng + Aloe Extract,multivitamins + minerals + lecithin + korean ginseng + aloe extract,5,explicit_plus
FORM_116e5106d6106c2130ab,Multivitamin + Mineral + Lecithin + Korean Ginseng + Aloe Extract,multivitamin + mineral + lecithin + korean ginseng + aloe extract,5,explicit_plus
FORM_78f28464c821e37f65b9,Hypromellos,hypromellos,1,single
FORM_3373183028883da79e62,Candesartan (As Cilexetil),candesartan (as cilexetil),1,single
FORM_c055bcbaa2c43dd1d58f,Clopidogrel (as bisulfite),clopidogrel (as bisulfite),1,single
FORM_896bfe1215152da6b701,Amoxicillin (as sodium) + Potassium clavulanate (as clavulanic acid),amoxicillin (as sodium) + potassium clavulanate (as clavulanic acid),2,explicit_plus
FORM_031c5e5b1e9d5e637234,METHOREXATE,methorexate,1,single
FORM_75dc241d6b0b644f5654,Thiamine Mononitrate (Vitamin B1) + Pyridoxine Hydrochloride (Vitamin B6) + Cyanocobalamin (Vitamin B12) 200 Mg/200 Mg/1 Mg Capsule,thiamine mononitrate (vitamin b1) + pyridoxine hydrochloride (vitamin b6) + cyanocobalamin (vitamin b12) 200 mg/200 mg/1 mg capsule,3,explicit_plus
FORM_9165811d34ff362bf8b0,Ascorbic Acid (as Sodium Ascorbate) + ZInc. (as Sulfate Monohydrate),ascorbic acid (as sodium ascorbate) + zinc. (as sulfate monohydrate),2,explicit_plus
