brand_id,formulation_id
BRAND_af806dc3887af7569fab,FORM_4763e40831242b99ba16
BRAND_a3512a6c58a2513d9347,FORM_38bb1a85a94aa4a895c9
BRAND_c10385d4096089b1187f,FORM_edc5078885eddec42977
BRAND_100bab6065fcfca3ba8f,FORM_8cfafcd363f31197a761
BRAND_1de36cc0a4b8fcd4f70d,FORM_8cfafcd363f31197a761
BRAND_a6b941161cb5c9c71068,FORM_950d507b51437ef2f3f1
BRAND_4d4dbb944d46e9dc4124,FORM_5b975f945aec7be66998
BRAND_09f3f92e3924dae57d99,FORM_d6e950375c9d56e0aca7
BRAND_dc8ffeac08aba714621d,FORM_5dd1e8658b620a4f2f0e
BRAND_64a61309979dc646aa00,FORM_ec43fe532385ae892316
BRAND_37ab029562e2dfd3bffb,FORM_1ac7a62ec4b4b9e87da4
BRAND_7b2f5e13a71b1c1af090,FORM_a78b7952a487e1659c50
BRAND_2ba7e1d23fc3a2402705,FORM_db15c76a4f1231c14f81
BRAND_f85848f95a2690a6b74e,FORM_1afd049d6e04ab46efe0
BRAND_e43bcb0bcb01ad13a303,FORM_87a9ce23c22ef95e7380
BRAND_08cf767849f077315e8b,FORM_87a9ce23c22ef95e7380
BRAND_61eff27c8ff4c153860d,FORM_3cbd3cc1f3cbe5196fd6
BRAND_d031535db3e8f0e837f0,FORM_f6e5510f3605db002c89
BRAND_e8d678cc5ce3ee40f0d3,FORM_1323c2e898cdf33b7a55
BRAND_0cd42c78ae9464cfb6f6,FORM_672bb991dce99ef875d2
BRAND_1e189c171447f63967f7,FORM_6263c8c744d8926eefdb
BRAND_6ce4e81c3bc0d643a0f6,FORM_d6e950375c9d56e0aca7
BRAND_481afafc26a80d042a81,FORM_bfe372731f5ab745b7cf
BRAND_481afafc26a80d042a81,FORM_df9dc2fd7bb8ff0e561a
BRAND_f5f0303f73ae0c18a5b3,FORM_f773f0da629069737d94
BRAND_f5f0303f73ae0c18a5b3,FORM_6162b87aa356ab196a93
BRAND_f21f7ccf95e36cb0afa3,FORM_a8c0108ba96a95a52c2c
BRAND_9c88fa4b24aabd3c7ab3,FORM_be1260438b532b02dfde
BRAND_a0bc41ff0b7e8a8db1e8,FORM_d45b72bc1c2fb1f758da
BRAND_c1eee584580864ce91af,FORM_ae4de51474b116aa685d
BRAND_fa588166ee053c739c80,FORM_cfde5ae9170ad0afe5df
BRAND_39a53c50173ee10d7a13,FORM_8446a83051742edd2cea
BRAND_be718926449ee787259a,FORM_672bb991dce99ef875d2
BRAND_b8a1f42a5fade20d0ee5,FORM_c8f73ea7014f1d491a77
BRAND_04aae7586de0da985b54,FORM_4dae8f53b71c86608a1c
