ingredient_id,ingredient_name_display,ingredient_name_normalized
ING_db15c76a4f1231c14f81,"Rotavirus Vaccine (Live, Attenuated)","rotavirus vaccine (live, attenuated)"
ING_1afd049d6e04ab46efe0,"Inactivated Poliomyelitis Vaccine (Types 1, 2 And 3)","inactivated poliomyelitis vaccine (types 1, 2 and 3)"
ING_87a9ce23c22ef95e7380,Hepatitis A (Inactivated) Vaccine (Adsorbed),hepatitis a (inactivated) vaccine (adsorbed)
ING_3cbd3cc1f3cbe5196fd6,"Varicella Vaccine (Live, Attenuated)","varicella vaccine (live, attenuated)"
ING_f6e5510f3605db002c89,"Pneumococcal Conjugate Vaccine, 13-Valent (adsorbed) [See formulation]","pneumococcal conjugate vaccine, 13-valent (adsorbed) [see formulation]"
ING_1323c2e898cdf33b7a55,Pneumococcal Polysaccharide Conjugate Vaccine (Adsorbed),pneumococcal polysaccharide conjugate vaccine (adsorbed)
ING_6263c8c744d8926eefdb,Semaglutide,semaglutide
ING_bfe372731f5ab745b7cf,Pneumococcal Polysaccharide Conjugate Vaccine (Adsorbed) (10-valent),pneumococcal polysaccharide conjugate vaccine (adsorbed) (10-valent)
ING_df9dc2fd7bb8ff0e561a,Pneumococcal Polysaccharide Conjugate Vaccine. (Adsorbed) (10-valent),pneumococcal polysaccharide conjugate vaccine. (adsorbed) (10-valent)
ING_f773f0da629069737d94,Human Blood Coagulation Factor VIII,human blood coagulation factor viii
ING_1d56c25b37cca83cf09b,Bacillus Calmette-Guérin (BCG) Vaccine,bacillus calmette-guérin (bcg) vaccine
ING_a8c0108ba96a95a52c2c,Durvalumab,durvalumab
ING_d45b72bc1c2fb1f758da,Tetanus Toxoid (Adsorbed),tetanus toxoid (adsorbed)
ING_c8f73ea7014f1d491a77,Human Immunoglobulin,human immunoglobulin
ING_4dae8f53b71c86608a1c,Calfactant,calfactant
ING_1f51680461abfc0a17f3,Moroctocog Alfa,moroctocog alfa
ING_be386c1844c6e1d6734d,"Cholera Vaccine (Inactivated, Oral)","cholera vaccine (inactivated, oral)"
ING_d302fad6e5c7b3442319,"Meningococcal Group A, C, W-135 and Y Conjugate Vaccine","meningococcal group a, c, w-135 and y conjugate vaccine"
ING_927b8c7aaca884d8884c,Rabies Vaccine (Inactivated),rabies vaccine (inactivated)
ING_ae6d01b9cee45f4106e5,Human Fibrinogen,human fibrinogen
ING_761990ad30253f21a676,Human Thrombin,human thrombin
ING_4c48b23f6f0b0f27e72d,Polatuzumab vedotin,polatuzumab vedotin
ING_0d39fafa53c44cdf8420,Brolucizumab,brolucizumab
ING_fc1d976b9cd3064a4cb8,Pertuzumab,pertuzumab
ING_45d9f97e5499a1b07888,Epoetin Alfa,epoetin alfa
ING_f0a671ae95f6a36ff068,Hepatitis B Vaccine (rDNA),hepatitis b vaccine (rdna)
ING_eba88e1f89a66cc343a3,Ustekinumab,ustekinumab
ING_d2f5420f093072f6bea6,Ofatumumab,ofatumumab
ING_35f4ee2b7210bd54217a,Tildrakizumab,tildrakizumab
ING_4d1698a1c6a777e334c4,"Inactivated Poliomyelitis Vaccine (Types 1, 2, and 3)","inactivated poliomyelitis vaccine (types 1, 2, and 3)"
ING_016cf6e08e1c50f85d0c,"Diphtheria, Tetanus, Pertussis (Whole Cell), Hepatitis B (IDNA) and Haemophilus influenzae Type B Conjugate Vaccine (Adsorbed)","diphtheria, tetanus, pertussis (whole cell), hepatitis b (idna) and haemophilus influenzae type b conjugate vaccine (adsorbed)"
ING_5782e9135c314a4592bd,Daratumumab,daratumumab
ING_cbfe5ca5f6af0ab7c7b1,"Pneumococcal Polysaccharide Conjugate Vaccine, 15 Valent (Adsorbed)","pneumococcal polysaccharide conjugate vaccine, 15 valent (adsorbed)"
ING_eda03f314d6fdd6ee67a,Nonacog Alfa,nonacog alfa
ING_a8461ece3e1204779a02,Faricimab,faricimab
ING_141f813312ec98c35594,Bacillus Clausii,bacillus clausii
ING_fad1128410500c82a2af,"Rotavirus Vaccine, (Live Attenuated)","rotavirus vaccine, (live attenuated)"
ING_34b6576e4597dee1026e,Casirivimab,casirivimab
ING_cfda6749cb6f29a2ad63,Imdevimab,imdevimab
ING_7bfa5f7b3b623fad02ef,Candesartan,candesartan
ING_3efdc8103948c46e5c2c,Amivantamab,amivantamab
ING_b645d35a3760328180e4,Bacterial Lysate,bacterial lysate
