ingredient_id,ingredient_name_display,ingredient_name_normalized
ING_3979cceacb57e0e26d05,Brinzolamide,brinzolamide
ING_d3bc0ce4d44e099cd2fc,Iohexol,iohexol
ING_7c118d8e89a2f6b7a6b9,Tirofiban Hydrochloride,tirofiban hydrochloride
ING_ddd789a86b90b2f448e8,Oxytocin,oxytocin
ING_813a16c7ef847c21119e,Salmeterol (as xinofoate),salmeterol (as xinofoate)
ING_08e69894c0b3a98cfb51,Fluticasone propionate,fluticasone propionate
ING_8110b45095dab2dbb003,Salmeterol (As Xinafoate),salmeterol (as xinafoate)
ING_dac141cce5834e03b9b5,Salmon Calcitonin,salmon calcitonin
ING_f9d7b012ed15c4752938,METHOTREXATE,methotrexate
ING_aa99e3cef4b8e6c3f9ad,Multivitamins with Lysine (see reverse),multivitamins with lysine (see reverse)
ING_12c47f63aa45510c76f1,Prednisolone,prednisolone
ING_c562b592b8801b61b33f,Ascorbic Acid (Vitamin C),ascorbic acid (vitamin c)
ING_941a662d76df02adcd68,Bisoprolol Fumarate,bisoprolol fumarate
ING_1c457fd6984bd1909f22,Cefalexin,cefalexin
ING_4cbc826de72bc1b5941b,Goserelin Acetate (Equivalent To Goserelin Base),goserelin acetate (equivalent to goserelin base)
ING_dc618402991f1b209931,Hydrocortisone,hydrocortisone
ING_72753c233823122a7af7,Fludarabine phosphate,fludarabine phosphate
ING_20f1fc5758bc16c08e8e,Nitrofurantoin,nitrofurantoin
ING_4e765f8f1eff90c008cd,Fenofibrate,fenofibrate
ING_1c00e2e075320f7dcb82,Entacapone,entacapone
ING_ab05ece49ce84d06080a,Zinc Gluconate,zinc gluconate
ING_526ad5ac932197b39a5d,Hydrotalcite,hydrotalcite
ING_ade2d9e8ae37e7a0a7d2,Dimethicone,dimethicone
ING_c5cc60aaf1d0a7f3c07c,RANITIDINE (AS HYDROCHLORIDE),ranitidine (as hydrochloride)
ING_dcfa5cee09467be38879,Gadoteric Acid,gadoteric acid
ING_f488d5f1a2af529928d6,D-Alpha Tocopheryl Acetate,d-alpha tocopheryl acetate
ING_46b702f0e9694dc32607,Diltiazem Hydrochloride,diltiazem hydrochloride
ING_44aceb26599616c10368,Diltiazem (as Hydrochloride),diltiazem (as hydrochloride)
ING_6762cf82859fc11a9581,Triptorelin Acetate,triptorelin acetate
ING_3f32d6c0e60a24aa761f,N(2)-L-alanyl-glutamine,n(2)-l-alanyl-glutamine
ING_58f49def11899bb03e70,Pioglitazone (As Hydrochloride),pioglitazone (as hydrochloride)
ING_823e69efe622b6954a69,Pantoprazole (as sodium sesquihydrate),pantoprazole (as sodium sesquihydrate)
ING_69aa41ac0d728b0b043f,Progesterone,progesterone
ING_0fc4cfd7f7420da3eb63,Phentermine,phentermine
ING_82bc85898261fa339f65,Hypromellose,hypromellose
ING_48973a1d3d6f79c90492,Ketorolac trometamol,ketorolac trometamol
ING_958170e28c0ea30141e7,Esomeprazole (as Magnesium Trihydrate),esomeprazole (as magnesium trihydrate)
ING_f4d0255acbc1c0e2b07c,Calcium Carbonate,calcium carbonate
ING_e199cf81672e8281c0d9,Cholecalciferol (Vitamin D3),cholecalciferol (vitamin d3)
ING_3ade9cf9bd6cce2b470f,Simethicone,simethicone
ING_9ea8b140e7eacd036110,Cefradine,cefradine
ING_145fdb0fb24175d387a2,Gadodiamide,gadodiamide
ING_cc990d839e8da3633d69,Nifedipine,nifedipine
ING_2898fa2340e426710c6d,Lincomycin Hydrochloride,lincomycin hydrochloride
ING_f79518c94febebbb900b,Nitrofurazone,nitrofurazone
ING_bb2c402959905a7200bf,Bicalutamide,bicalutamide
ING_2f3f1c0e1ea300286b39,CEFTRIAXONE SODIUM,ceftriaxone sodium
ING_befe6515d7ba3764d0a8,Formoterol Fumarate Dihydrate,formoterol fumarate dihydrate
ING_6a104ddf13be4b9e086d,Timolol (As Maleate),timolol (as maleate)
ING_afd3b9c66141c9ec18db,Trimetazidine,trimetazidine
ING_5d68f2426cd9746d56a1,TRAVOPROST,travoprost
ING_3f16db4d37645152aa6e,Minerals Ferrous Sulfate (Equiv To 65 Mg Elemental Iron) 200Mg Thiamine Hydrochloride (Vit B1) 2 Mg Riboflavin (Vit B2) 2 Mg Pyridoxine Hydrochloride (Vit B6) 2 Mg Ascorbic Acid (Vit. C) 100 Mg Cyanocobalamin (Vit B12) 10 Mcg Nicotinamide 20 Mg Folic Acid 400 Mcg,minerals ferrous sulfate (equiv to 65 mg elemental iron) 200mg thiamine hydrochloride (vit b1) 2 mg riboflavin (vit b2) 2 mg pyridoxine hydrochloride (vit b6) 2 mg ascorbic acid (vit. c) 100 mg cyanocobalamin (vit b12) 10 mcg nicotinamide 20 mg folic acid 400 mcg
ING_4249b585a577747ecd51,Sirolimus,sirolimus
ING_02c60fb5530cf3371988,Ampicillin Sodium,ampicillin sodium
ING_3e1f6a6c418b9080c6d8,Linezolid,linezolid
ING_12402be81f2c14a7ba88,Simvastatin,simvastatin
ING_6a759494fb3358957e17,Ioversol,ioversol
ING_f8c561d6efd4cd8abc70,Propofol,propofol
ING_9712d583cf8179255286,Clarithromycin,clarithromycin
ING_a7f19dde6bd2eac96e4b,Clindamycin Hydrochloride,clindamycin hydrochloride
ING_5f651ea1164fe2007538,Methylprednisolone Aceponate,methylprednisolone aceponate
ING_28000a79a36e274a0860,Bisacodyl,bisacodyl
ING_d416cd34aeba5da5afbd,Pyrazinamide,pyrazinamide
ING_f78ea752822b648940d5,Zinc,zinc
ING_bbaeab8a6207ef59f9b2,Taurine,taurine
ING_94c6f85f6d8ca5eb4505,Diclofenac (As Diethylamine) 1G,diclofenac (as diethylamine) 1g
ING_e1dc8bc7cbf2049f7af1,100G (1%) Emulgel,100g (1%) emulgel
ING_bb8e8179d9063e6a6c8d,Rifampicin / Isoniazid,rifampicin / isoniazid
ING_54557f9a5e277f6f9c51,Thiamine Hydrochloride (B1) Pyridoxine Hydrochloride (B6) Cyanocobalamin (B12),thiamine hydrochloride (b1) pyridoxine hydrochloride (b6) cyanocobalamin (b12)
ING_2909a4e005598ca8915c,Norfloxacin,norfloxacin
ING_7f4dd20dcc211fd49173,Adrenaline (As Acid Tartrate),adrenaline (as acid tartrate)
ING_20ee8f8da0858ebbc505,Fondaparinux Sodium,fondaparinux sodium
ING_b0b4630bfa6769cf11d9,Prednisolone Acetate,prednisolone acetate
ING_e2d86f51bdfd2377205e,Bupivacaine As Hydrochloride,bupivacaine as hydrochloride
ING_5b6ed4ff43cbf6265b54,Pramipexole Dihydrochloride Monohydrate,pramipexole dihydrochloride monohydrate
ING_13b07f921081a0d22c50,Cefoxitin Sodium,cefoxitin sodium
ING_036591e426c782b531a9,Parecoxib (As Sodium),parecoxib (as sodium)
ING_841990868695b1b59c50,Methylphenidate hydrochloride,methylphenidate hydrochloride
ING_b231718109b5fbb014d1,0.5% Bupivacaine Hydrochloride in 8% Dextrose,0.5% bupivacaine hydrochloride in 8% dextrose
ING_608de3ab2f24046b9995,Hyoscine Butylbromide,hyoscine butylbromide
ING_818ad8d0534ba94d94bb,Trace Elements Concentrated Solution,trace elements concentrated solution
ING_b8f69be1a0f0318ca16b,Cefaclor (As Monohdyrate),cefaclor (as monohdyrate)
ING_4b2e5d23df6206100e42,Haloperidol,haloperidol
ING_0f13e1af4d49bde3cd7e,Retinol (As Palmitate),retinol (as palmitate)
ING_31caa434e94c320c05b1,Levocetirizine Dihydrochloride,levocetirizine dihydrochloride
ING_f52abf5124b9bf074d11,0.5% Bupivacaine (as hydrochloride) in 8% Dextrose,0.5% bupivacaine (as hydrochloride) in 8% dextrose
ING_7338725ff84f4922c182,Carbamazepine,carbamazepine
ING_36286c246e27ad1efba1,Loratadine,loratadine
ING_0ba6d83eaac36b15309e,Betamethasone,betamethasone
ING_f8e380d2800982a9bee2,POLYMYXIN B SULFATE NEOMYCIN SULFATE DEXAMETHASONE,polymyxin b sulfate neomycin sulfate dexamethasone
ING_335c5478f05adc9dcd80,Dexamethasone Phosphate (As Sodium),dexamethasone phosphate (as sodium)
ING_eeaa255e76873e6c78d6,Clavoxel,clavoxel
ING_c34b6a86755cc89cf72d,Drospirenone,drospirenone
ING_437fd5a9fb6e88fb8114,Metoclopramide (As Hydrochloride),metoclopramide (as hydrochloride)
ING_26aa4a069f0dc6b2a887,Glycerin,glycerin
ING_a5a625edd973c763736f,Sulfacetamide Sodium,sulfacetamide sodium
ING_50ee9022cebe52d3c6b2,Metformin (As Hydrochloride),metformin (as hydrochloride)
ING_ba34774776505d7ce874,Glibenclamide,glibenclamide
ING_d5749c02f0dfd7046c6e,Ofloxacin (as hydrochloride),ofloxacin (as hydrochloride)
ING_83f59f5f6ddddaa4ce27,Salbutamol (As Sulfate) 2 Mg,salbutamol (as sulfate) 2 mg
ING_004171ec0d666b8e90b8,Ml Solution For Nebulization,ml solution for nebulization
ING_b1a703399f55f79146df,Ciprofloxacin (As Lactate),ciprofloxacin (as lactate)
ING_765a9e3f32cbe635fd48,Pantoprazole,pantoprazole
ING_298af6d32cf67ddfef0b,Etoposide,etoposide
ING_63a9843c669e0cdf23a6,Rosuvastatin (as calcium),rosuvastatin (as calcium)
ING_65d15560fc37bc6737dc,Calamine 8% Lotion,calamine 8% lotion
ING_4e1f2ab8d1a7581634a8,Isoconazole Nitrate,isoconazole nitrate
ING_49ab54856f8ee2d09de9,Diflucortolone Valerate,diflucortolone valerate
ING_702d8a96da9b29e177e3,Midazolam,midazolam
ING_75c192d74c586f4b830d,Bleomycin (As Sulfate),bleomycin (as sulfate)
ING_bba8df7e9eb659846e50,Calcitriol,calcitriol
ING_364629e9bf9da9efa0be,Calcipotriol (As Hydrate),calcipotriol (as hydrate)
ING_196c7def5847da983300,Metformin Hydrochloride,metformin hydrochloride
ING_e67829c3acde78ae9430,Isotretinoin,isotretinoin
ING_2fb2dd23bae541ad7d55,Iron (as Iron Polymaltose Complex),iron (as iron polymaltose complex)
ING_6036cad3024777ed5f64,Ciprofloxacin,ciprofloxacin
ING_52a0b7c2155ac7177d48,Brimonidine tartrate,brimonidine tartrate
ING_c727a81d555378abb653,Valganciclovir (As Hydrochloride),valganciclovir (as hydrochloride)
ING_c9b8d056c5c60512638b,Levofloxacin,levofloxacin
ING_b6474e9548f3b4a36188,Ketotifen (As Fumarate),ketotifen (as fumarate)
ING_f54a8c605fdec8d1e93f,Ethambutol Hydrochloride,ethambutol hydrochloride
ING_21264587fffc98e8a2aa,Ethambutol,ethambutol
ING_a211f5f6690c09079817,Gefitinib,gefitinib
ING_b46e3f876c23ccb0a5db,Felodipine,felodipine
ING_88b1b528944b737055a6,Fluconazole,fluconazole
ING_a140f905bf8f9fc7f779,Cetrorelix Acetate,cetrorelix acetate
ING_3a69c63f450411d3cde8,Levetiracetam,levetiracetam
ING_a179ad154aaadd06ab44,Omeprazole (as sodium),omeprazole (as sodium)
ING_475d402c3f44782defe6,"Water-Soluble Vaitamin: Thiamine Mononitrate 3.1mg (corresponding to Vit B1, 2.5mg), Riboflavin Sodium Phosphate 4.9mg (corresponding to Vit B2, 3.6mg), Nicotinamide 40mg, Pyridoxine Hydrochloride 4.9mg (corresponding to Vit B6 4mg), Cyanocobalamin 5mcg, Sodium Pantothenate 16.5mg (corresponding to Pantothenic Acid, 15mg), Sodium Ascorbate 113mg (corresponding to Vit C, 100mg), Biotin 60mcg, Folic Acid 400mcg","water-soluble vaitamin: thiamine mononitrate 3.1mg (corresponding to vit b1, 2.5mg), riboflavin sodium phosphate 4.9mg (corresponding to vit b2, 3.6mg), nicotinamide 40mg, pyridoxine hydrochloride 4.9mg (corresponding to vit b6 4mg), cyanocobalamin 5mcg, sodium pantothenate 16.5mg (corresponding to pantothenic acid, 15mg), sodium ascorbate 113mg (corresponding to vit c, 100mg), biotin 60mcg, folic acid 400mcg"
ING_c73f057d3f1b128514d6,Hydroxyethyl Starch 130/0.4,hydroxyethyl starch 130/0.4
ING_4f8e6094b0feba29a37f,Lacipidine,lacipidine
ING_4acf49b4041794166a2d,Ceftriaxone,ceftriaxone
ING_d81778ba1f5f0555dc7e,D-Alpha Tocopherol (Vitamin E),d-alpha tocopherol (vitamin e)
ING_fc53a106df7155b3e30e,Phospholipid,phospholipid
ING_88a2f109b13da1551db0,Glucose,glucose
ING_abd476d30f52dbaf3925,Lipids,lipids
ING_403b0b69b18ef6827697,Divalproex sodium,divalproex sodium
ING_bafcfc2d70ff00714634,Ketoprofen,ketoprofen
ING_3d1d07ce6d576f0a77d8,Cetirizine (as Dihydrochloride),cetirizine (as dihydrochloride)
ING_18bf1d6e03f0ffc5dcdf,Dutasteride,dutasteride
ING_8486b14a1bd5413f54ee,CIMETIDINE,cimetidine
ING_d373068ef687da884715,Biotin,biotin
ING_36da4a552f14cc40bcba,Inositol,inositol
ING_e67d23e7820c49a8051d,CFG,cfg
ING_4fe21a46ddc3ba7b9885,Lysine HCl,lysine hcl
ING_14528cc56c3b75939ef4,CGF,cgf
ING_c6131333dd32d2848bd3,Dextrose,dextrose
ING_a8318dc2b1d136924eed,Biperiden Hydrochloride,biperiden hydrochloride
ING_63bcf7c153e810fbcf8c,Ursodeoxycholic Acid,ursodeoxycholic acid
ING_c82e6e2d829f086c9cab,Hydrocotisone,hydrocotisone
ING_eee8258655b5c3e55aae,Cefotaxime sodium,cefotaxime sodium
ING_7911aee5ca4c4f144b79,Esomeprazole (As Sodium),esomeprazole (as sodium)
ING_9badf7e2ddf5e8638e5e,Erdosteine,erdosteine
ING_f2ad5c67164511de9cc6,Lymecycline,lymecycline
ING_c7d2646391c623ebb659,Sorbitol (see reverse),sorbitol (see reverse)
ING_baba3fbcb43c8c6ff870,Lansoprazole,lansoprazole
ING_4e3d84539307f6770d79,Highly Refined Fish Oil,highly refined fish oil
ING_c4c52f12adcebf4a9bd8,Enalapril (as Maleate),enalapril (as maleate)
ING_e4fb706016a650805d6b,Hydrocortisone (As Sodium Succinate),hydrocortisone (as sodium succinate)
ING_d95cdc550e1f4cb9010d,Enalapril Maleate,enalapril maleate
ING_dcae93e278776828f7ed,Ondansetron (as Hydrochloride),ondansetron (as hydrochloride)
ING_3265be9fddd160359fd1,Terazosin (as Hydrochloride Dihydrate),terazosin (as hydrochloride dihydrate)
ING_d2f320cdb928ec7a378b,Dl-Alpha Tocopheryl Acetate (Vitamin E),dl-alpha tocopheryl acetate (vitamin e)
ING_2a4540c3d24c22a727d6,Cefoxitin (as Sodium),cefoxitin (as sodium)
ING_aae5b0585821399fc539,Amlodipine (as besilate),amlodipine (as besilate)
ING_7ad1eb474405667c3536,Atorvastatin (as calcium),atorvastatin (as calcium)
ING_59e493f12f9b9c6d8ea2,Epirubicin Hydrochloride,epirubicin hydrochloride
ING_014a5e7c377fc95f1cf6,Potassium Iodide,potassium iodide
ING_d9d88fc44641ccc69b60,Sodium Iodide,sodium iodide
ING_cfd83e275fb3bb1fa2e9,Metoclopramide Hydrochloride,metoclopramide hydrochloride
ING_bbbbabbb1b42050ed66d,Zoledronic Acid,zoledronic acid
ING_e93958494327329c1d54,Methyl Salicylate,methyl salicylate
ING_fa2e78b6b951aaffcc5d,Paracetamol (Orange Flavor),paracetamol (orange flavor)
ING_6a40af4bda52490741a3,Calcium Polystyrene Sulfonate,calcium polystyrene sulfonate
ING_d9a2e40fea185acd895b,Flouride,flouride
ING_570d60f6d386ef4248de,Chlorpromazine Hydrochloride,chlorpromazine hydrochloride
ING_302a3c845f08e70a23df,Sulbactam (as sodium),sulbactam (as sodium)
ING_550fb231a2802b5d14a7,Amantadine sulphate,amantadine sulphate
ING_34a99d4271042852da06,Methimazole,methimazole
ING_ba52952b1a399da18c6b,(see reverse),(see reverse)
ING_d16cd679c5bbd3461144,Pyrazinamide (Zcure); Rifampicin (Natricin Forte); Isoniazid,pyrazinamide (zcure); rifampicin (natricin forte); isoniazid
ING_c2a5a79e480985801982,Pyridoxine Hydrochloride (Curazid Forte),pyridoxine hydrochloride (curazid forte)
ING_76ac041cc910a9f18262,Glimepiride,glimepiride
ING_16a78f748cfffaef918d,Deferiprone,deferiprone
ING_8a3fcbbd2ebfb6c8f2bd,Gatifloxacin,gatifloxacin
ING_fec7a35958c0ab8ec6a8,Mercaptopurine,mercaptopurine
ING_84a8783074debad97df1,Lysine monohydrochloride,lysine monohydrochloride
ING_e9cfaf2a0e4e47eb75eb,Aceclofenac,aceclofenac
ING_c334e7a56dcf2838f784,Divalproex sodium (equivalent to Valproic Acid),divalproex sodium (equivalent to valproic acid)
ING_f10bfee314e86e2e0553,Cyclosporine,cyclosporine
ING_4d56dcdb032d2b7f309e,Beclometasone,beclometasone
ING_207cad7d11b779580c23,Tenoxicam,tenoxicam
ING_2f75b1b5e7ff73fd6ec4,Chlorella,chlorella
ING_cb7a2534d5bc5a4baf47,Estradiol,estradiol
ING_fe13d87ec48df35d0044,Pyridoxine (Vitamin B6),pyridoxine (vitamin b6)
ING_33c1069a1a0d40e18175,Cyanocobalamin (Vitamin B12) Folic Acid,cyanocobalamin (vitamin b12) folic acid
ING_726af9974011f0fae283,Medroxyprogesterone Acetate,medroxyprogesterone acetate
ING_86e590362a6b90efeb9c,Cefazolin (as sodium),cefazolin (as sodium)
ING_b00b12a82066f7055121,TOBRAMYCIN DEXAMETHASONE,tobramycin dexamethasone
ING_82efbc95cd8ff65ef46a,Mitomycin,mitomycin
ING_738f79b71e1bf59434fa,Acyclovir,acyclovir
ING_010e0af170d7af83bf0d,Sildenafil (as citrate),sildenafil (as citrate)
ING_ca8792d5827a3a55e58a,Racecadotril,racecadotril
ING_474653c653448c986b88,Levodropropizine,levodropropizine
ING_b0571f85d7fa33e91547,Duloxetine (As Hydrochloride),duloxetine (as hydrochloride)
ING_a13996ea38264fd1c3bf,Robitussin Dm,robitussin dm
ING_09548c1621d1c0536e6c,Rifampicin; Isoniazid,rifampicin; isoniazid
ING_eb0ab8739659a4e68f59,Pyridoxine Hydrochloride; Pyrazinamide,pyridoxine hydrochloride; pyrazinamide
ING_bc2d2f7e0f54026541a7,Vitamin E,vitamin e
ING_464a771d7e2ec0a1c7e1,Iloprost (as trometamol),iloprost (as trometamol)
ING_2bea5d5dac025aa73b35,Doxofylline,doxofylline
ING_37d215b6a9014e8c6e7d,Hyoscyamine Sulfate,hyoscyamine sulfate
ING_1a635e238b9982819e25,Hyoscine Hydrobromide,hyoscine hydrobromide
ING_a44297f85f484d012a1e,Montelukast,montelukast
ING_c87d69ae7c91a19b211a,Cotrimoxazolë,cotrimoxazolë
ING_94d2e03d6d8df3a9ae2d,Ampicillin (as trihydrate),ampicillin (as trihydrate)
ING_664518ecff41b61ff3df,Glipizide,glipizide
ING_e5f6a9c48ca2b1b20115,Bethanechol chloride,bethanechol chloride
ING_d5128f1fbf5dfccfa7a1,Tigecycline,tigecycline
ING_ea0f183370225a08f76a,Pseudoephedrine Hydrochloride,pseudoephedrine hydrochloride
ING_d0a8a709c829a779087e,Pemetrexed (as disodium),pemetrexed (as disodium)
ING_c887bfc0032fc90bd595,Flunarizine Hydrochloride,flunarizine hydrochloride
ING_e32bb86d12b14d9de90b,Peritoneal Dialysis Solution with 7.5% Icodextrin,peritoneal dialysis solution with 7.5% icodextrin
ING_08387c9233da312a20c1,Olmesartan Medoxomil,olmesartan medoxomil
ING_01e31e9dad0c8a01ad6f,Gadobutrol,gadobutrol
ING_afa1192556725e9ce09f,Pyrantel (As Pamoate),pyrantel (as pamoate)
ING_11d9c46b534a5c13e4c3,Cefaclor,cefaclor
ING_d40102c36b1f44f7acd9,Solifenacin succinate,solifenacin succinate
ING_a05117f52904c0efbf87,Dequalinium Chloride,dequalinium chloride
ING_bf717c7a4de0738e7957,Cetirizine Hydrochloride,cetirizine hydrochloride
ING_796088b6a332c49de03c,Salbutamol Sulfate,salbutamol sulfate
ING_3377f07581071ecf1941,Sevoflurane,sevoflurane
ING_308e8fbb05e3035ce26d,Piperacillin (As Sodium),piperacillin (as sodium)
ING_0cd10ed56b8254bc9cba,Tazobactam (As Sodium),tazobactam (as sodium)
ING_27d2d275e510743eac72,Trimetazidine Dihydrochloride,trimetazidine dihydrochloride
ING_ed2f4853889e1d9e6983,Cefixime ( As Trihydrate),cefixime ( as trihydrate)
ING_957a9afd92adfbcb91f1,Ramipril,ramipril
ING_3ade755b49f5540186d2,Clopidogrel (as bisulfate),clopidogrel (as bisulfate)
ING_a1c2a9c688950a447c5e,Dexmedetomidine (as hydrochloride),dexmedetomidine (as hydrochloride)
ING_a02c9bba5fb9cb20d805,Zolpidem (as Tartrate),zolpidem (as tartrate)
ING_8a78c4cdc2f24b36dc2f,Phenazone,phenazone
ING_92a405816512f56ccc68,Anagrelide (As Hydrochloride),anagrelide (as hydrochloride)
ING_1ad915ad9e2a88e7c267,Docetaxel,docetaxel
ING_71d3329a9edd44d723dd,Nepafenac,nepafenac
ING_47a3fb6fd1bd0db01736,Methyldopa (as Sesquihydrate),methyldopa (as sesquihydrate)
ING_21c3ded44971c4cd2c87,Cefalexin (Monohydrate),cefalexin (monohydrate)
ING_63efae5a4bcdbd0679ac,Pyridoxine Hydrochloride(Vitamin B6),pyridoxine hydrochloride(vitamin b6)
ING_02b63993262c2e63307f,Fluvoxamine (as maleate),fluvoxamine (as maleate)
ING_c926808c3fd9f11b7292,Promethazine Hydrochloride,promethazine hydrochloride
ING_b3c649eab43bc0e10b14,Sorafenib (as Tosylate),sorafenib (as tosylate)
ING_a43cf4617a70911230fb,Deferasirox,deferasirox
ING_a1cc759236fcad739b81,Lactulose,lactulose
ING_04b7b62d626de0337691,Lactobacillus Acidophilus,lactobacillus acidophilus
ING_cffa14321a1b4af40ed0,Estriol,estriol
ING_9f18ea8a7c164bfebfd2,Pregabalin,pregabalin
ING_485a83b1afbd63a69e08,Cefradine (as Monohydrate),cefradine (as monohydrate)
ING_c626af096dfa348e0df4,Sterile Water,sterile water
ING_9be750e7e3bce67b3c49,Thiamine Monohydrate (Vitamin B1),thiamine monohydrate (vitamin b1)
ING_217ec6308811e62dac21,OXALIPLATIN,oxaliplatin
ING_3e0baa0973faa3f4268d,Gabapentin,gabapentin
ING_d0f48f633c3c3b24a561,Fexofenadine Hydrochloride,fexofenadine hydrochloride
ING_53ff7e0b872b7eca55ad,"EACH 100G CONTAINS: COPTIDIS RHIZOME (GOLDEN THREAD RHIZOME) 5.5 G, PHELLODENDRI CHINENSIS CORTEX (CHINESE CORK-TREE BARK) 5.5 G, SCUTELLARIAE RADIX (BAICAL SKULLCAP ROOT) 5.5 G","each 100g contains: coptidis rhizome (golden thread rhizome) 5.5 g, phellodendri chinensis cortex (chinese cork-tree bark) 5.5 g, scutellariae radix (baical skullcap root) 5.5 g"
ING_de59c1707594ffafe77a,Celecoxib,celecoxib
ING_ba7627b3c1991971f7d4,Meloxicam,meloxicam
ING_6e76af9b003c35d2ba77,Mirazep,mirazep
ING_1574102b116149977080,Eucalyptus Oil,eucalyptus oil
ING_f0bd3bf44aa422453f27,Domperidone (as maleate),domperidone (as maleate)
ING_d4322063426ef2d432db,Citicoline,citicoline
ING_42876f76bc5e12fdeb48,Tamsulosin Hydrochloride,tamsulosin hydrochloride
ING_f19a2b387b5bfabab262,Iron (Reformulated),iron (reformulated)
ING_8a7460866b323ee58839,Iron (as Ferrous Fumarate),iron (as ferrous fumarate)
ING_73ea8f0c8c07a8345f91,Vitamin b12,vitamin b12
ING_1254da3b364050fee101,PHENYTOIN SODIUM,phenytoin sodium
ING_66ac578516b5b04c7c9d,Gemcitabine (as hydrochloride),gemcitabine (as hydrochloride)
ING_7b312affa96bea5510b4,ZINC (AS ZINC GLUCONATE),zinc (as zinc gluconate)
ING_ed7de3680936c19b8f17,Roxithromycin,roxithromycin
ING_7b6117048fccd569c062,Ferrous Sulfate Heptahydrate 200 Mg,ferrous sulfate heptahydrate 200 mg
ING_fe4d27c339452817acf1,5Ml Syrup,5ml syrup
ING_b52c56d58e379a9f6fc2,Cefuroxime (as axetil),cefuroxime (as axetil)
ING_6a6fb85f02ba41618f59,Beclometasone Dipropionate,beclometasone dipropionate
ING_7847e40c7fa6264fbd0a,Levocetirizine,levocetirizine
ING_d796a9e808951f8005b3,Clindamycin (as phosphate),clindamycin (as phosphate)
ING_f2a63529dd403ada051d,Ciprofloxacin Hydrochloride,ciprofloxacin hydrochloride
ING_b420e740105c14e6c555,Hypertonic Lactate Solution,hypertonic lactate solution
ING_d70bde8596839002f92a,Orlistat,orlistat
ING_a559b7d81130c838dbe3,Ciprofloxacin (as hydrochloride monohydrate),ciprofloxacin (as hydrochloride monohydrate)
ING_db0c926bbb8a2bbb19a6,Clindamycin Phosphate,clindamycin phosphate
ING_151e27ff49a33ddfb34a,Iomeprol,iomeprol
ING_4c6a976e94fb877a4cd5,Dextromethorphan,dextromethorphan
ING_ebf4d7aad3be8278904f,Amphotericin B,amphotericin b
ING_4eb925482fd3b568b2a5,Citicoline (as sodium),citicoline (as sodium)
ING_bb210b2b1bf42eea0517,Co-Amoxiclav (see reverse for formulation),co-amoxiclav (see reverse for formulation)
ING_c145de394cbc047678fd,Vancomycin,vancomycin
ING_c5ff8f09e3e46f010504,"VITAMIN B-COMPLEX (Vitamin B1, B6, B12)","vitamin b-complex (vitamin b1, b6, b12)"
ING_cf7852928e26c97bce67,Lidocaine,lidocaine
ING_a366acf6ee6fb0301d35,Zanamivir,zanamivir
ING_f23dc1c5ec4f9664f311,Iron Sucrose,iron sucrose
ING_31c5209f21c82aea386f,Saccharomyces Boulardii,saccharomyces boulardii
ING_29d1d6d7e80c42bef074,Diclofenac (as Sodium),diclofenac (as sodium)
ING_d80e3729168395e5f1a1,Sodium Ascorbate,sodium ascorbate
ING_7e6ae1a758cea766a93c,Zinc 56.24 mg/50 mg/10 mg per 5 mL Syrup,zinc 56.24 mg/50 mg/10 mg per 5 ml syrup
ING_11bd2ae6efb79a542321,Amlodipine(As Besilate),amlodipine(as besilate)
ING_f4105e9a23f7206cee08,Ferrous Sulfate 500 mg (equivalent to 161 mg elemental iron),ferrous sulfate 500 mg (equivalent to 161 mg elemental iron)
ING_59376b2babbc7cef0464,Zinc Sulfate Monohydrate 41.17 mg (equivalent to 15 mg Zinc),zinc sulfate monohydrate 41.17 mg (equivalent to 15 mg zinc)
ING_eb241c62e678bd559b87,Folic Acid 1 mg,folic acid 1 mg
ING_6b7532577609ce6faad8,Paliperidone,paliperidone
ING_30c3c93f6627f3b18f26,Lisinopril dihydrate,lisinopril dihydrate
ING_45c4801d03a92e92e148,Fulvestrant,fulvestrant
ING_6e4721f90e4d1db67d31,Gentamicin Sulfate,gentamicin sulfate
ING_60b2dd6a4ce168a91f05,Iopamidol,iopamidol
ING_8831c408fd6aa77f8706,Glucosamine Sulfate,glucosamine sulfate
ING_cd1c21973363951d152a,Fluoxetine hydrochloride,fluoxetine hydrochloride
ING_25098b221a1529aaabce,Itraconazole,itraconazole
ING_ae8a729e66a030a564ef,Trypan Blue,trypan blue
ING_cc9b027f1b55fed03378,Procaterol Hydrochloride,procaterol hydrochloride
ING_2a5d0c0ebec898422ace,Oseltamivir (As Phosphate),oseltamivir (as phosphate)
ING_31e739bcbac59ebd938f,Cephradine,cephradine
ING_6ae334b44a9283a66a0b,Diclofenac Potassium,diclofenac potassium
ING_df54c8f18fd82dd82acd,Nilotinib (as hydrochloride monohydrate),nilotinib (as hydrochloride monohydrate)
ING_6dd9299a4dcdc243df4a,Bromehexine Hydrochloride,bromehexine hydrochloride
ING_de94b339f64726716955,Sulbactam sodium,sulbactam sodium
ING_a60e583822e991edf22d,Perindopril Arginine,perindopril arginine
ING_4d7d7279ef1d74c019ae,Ethinylestradiol; Ferrous Fumarate,ethinylestradiol; ferrous fumarate
ING_280aed2e56351977f64c,Valproic Acid,valproic acid
ING_8d1e586d8176be3ee8e7,Homatropine Hydrobromide,homatropine hydrobromide
